Speaker,Dialogue
gerard,"Ladies and gentlemen... our fugitive's been on the run for ninety minutes. Average foot speed over uneven ground - barring injury is approximately four miles an hour, giving us a radius of six miles. I want a hard-target search of any residence, gas station, farmhouse, henhouse, doghouse and outhouse in that area. Check-points go up at 15 miles.  You got that? Good. Now, turn those damn things off and get out of our way."
poole,Blood trail found. Two miles southwest.
gerard, Newman...
newman,"Yes, sir..."
gerard,I need some coffee.
worker,"Hey, one's alive!"
kimble,"Can you hear me, sir?"
nurse,There's your fax...
duty nurse,"... Oh, you did a good job on this."
duty nurse," ... It does get dry in here, doesn't it?"
trooper,"'Scuse me, Doc?..."
trooper,... Don't know if you heard or not but we're looking for an escaped prisoner from that bus train wreck 'couple hours ago. Thought he might show up here if he was hurt.
kimble,What's he look like?
trooper," Approximately six one, 180 pounds, brown hair, brown eyes and beard."
trooper,... Seen anyone that fits that description?
kimble,Every time I look in the mirror ... but without the beard.
kimble,Excuse me...
trooper,Sure.
kimble,Here...
young guard,It's him... It's -
kimble,How is he?
kimble,Tell the E.R. doctor he's also got a perforated spleen.
poole,Background just came in from Chicago.
gerard,Hit me.
renfro,Richard David Kimble. Vascular Surgeon. Convicted of first-degree murder in the killing of his wife. Pleaded innocent. Claimed a one-armed -
gerard,Let's not retry the case. Priors and accomplices?
renfro,None. No previous arrests.
gerard,Sealed juvie record?
poole,Nothing. Total cherry.
gerard,Relatives? Children?
renfro,No relatives.
poole,One child. A son. Died in drowning accident three years ago.
gerard,Girl friends? Ex-wives? Friends? Combinations of the above?
poole,Lot of friends. Doctors. Hospital staff.
gerard,Start there. Authorize taps. Cover his lawyer first.
renfro,Never get it.
gerard,Bet me.
gerard,"Have Stevens go to Judge Rubin, he'll sign 'em."
biggs,"DeLange Hospital. Wounded guard swears to High Holy he saw Kimble right there in the hallway. Ambulance, missing too."
gerard,Give me a time.
biggs,O-nine-thirty. Twenty minutes ago.
poole,Ambulance just spotted two miles west of Doverville. Heading north
renfro,"Running outta map, Sam."
gerard,"Just the way we want it. Okay, people, let's button up."
pilot, He's heading toward the viaduct.
gerard,Seal it up.
renfro,Got him.
gerard,"Okay, ladies and gentlemen hard part's over."
renfro, We're movin' in.
poole,Where'd he go?
gerard,"Biggs, Renfro with me."
gerard,Channel Three.
biggs, Nothing yet.
gerard, Got a possible here. Stand by.
kimble,I didn't kill my wife.
gerard,"So, you didn't kill your wife."
gerard,Straight ahead!
gerard,"Turn around, hands over your head. And get down on the ground."
gerard,"Your choice, Kimble..."
gerard,Get down on your knees.
renfro, Son of a bitch...
head trooper,"Running out of daylight, Inspector."
gerard,"Lights and generators are coming, Captain."
head trooper,"Look, I don't mean to tell you your job, but maybe one person in a million could've survived that fall. The guy's fish food."
gerard,Then find me the fish that ate him.
helen,Good-bye. I love you.
kimble,Walter Gutherie please.
older waitress,Need to look at the menu?
kimble,"Some soup, please."
older waitress,Good choice.
older waitress,Need a ride?
kimble,Which way are you going?
renfro,Local officials were about to wet their pants to move in.
gerard,I bet they were.  Where's the woman?
renfro, Same room.
gerard," Okay... I'll take front. Biggs and Renfro, rear. Poole, handle support. I don't want anyone hurt. Stay outside unless called. Radios on three."
newman,"Uh, just want me to wait here, sir?"
gerard,"Hell, no. You're with me, Newman. Let's go."
gerard,U.S. Marshals. Down! Down!
copeland," You hear me? I said, I want out or I'll cut your man's throat!"
gerard,Shut up.
newman,My ear... I can't hear a thing out of it. I can't believe you did that!
gerard,"You think I should have bargained with him, don't you?"
newman,Yes. You could've missed! You could've killed me!
gerard,"Yeah, you're absolutely right. I could've."
gerard,How bad's your ear?
newman,Terrible. I probably have permanent hearing damage.
gerard,Let me see it.
gerard,I don't bargain.
kimble,Walter. It's Richard.
gutherie,"Richard... Jesus, why did you run? Running only makes you look guilty."
kimble,"I wasn't worrying about appearances, Walter."
gutherie,Tell me where you are. I'll come meet you so you can turn yourself in .
kimble,I'm not turning myself in. I need money.
gutherie,Richard. You're asking me to harbor and aid a convicted felon... I can't help you that way. My advice - both as a friend and as your legal counsel - is for you to give yourself up. Now tell me... where are you?
kimble, St. Louis.
gutherie,Give me an address. I'll be -
desk attendant,"See you tomorrow, Dr. Nichols?"
nichols,"Creature of habit, Sharon."
nichols,"Not today, please."
nichols,No. Not -
nichols," Oh, my God... Richard..."
kimble,"How're you doing, Charlie?"
nichols,You're alive...
kimble,Yeah. And I need your help.
nichols,Anything.
kimble,I need some money. Whatever you've got on you.
nichols,Of course.
nichols,Tell me where you're staying. I'll get you more money. Some clothes. Just give me an address...
kimble,I'll call you.
nichols,"I know why you came back - to find him. If I can help, call me... Call me."
kimble,"Thanks, Charlie..."
nichols,"Here, Richard, take my coat..."
cop," Hey, buddy - green light. Let's go."
poole,We've alerted St. Louis P.D
gerard,Call them back. Tell them you've made a mistake.
poole,What?
gerard, Stop it there.
gerard,Drop the voices.
gerard, Listen.
biggs,Trains? Traffic?
gerard,More... there's a voice in the background.
renfro,That's an El announcement.
gerard,"And there's no E1 in St. Louis. Ladies and gentlemen, Richard Kimble is in Chicago. Poole, get his artwork out to local police and have C.P.D. check the shelters... Biggs, bring in the detectives that handled his case."
stevens,I'll prepare the press release.
gerard,No.
gerard,They don't know he's alive and as far as Kimble knows we don't either. I want to keep it that way as long as we can. Are we clear?
renfro, Perfectly.
gerard,Noah... go to my office and let's officially take Dr. Kimble out of purgatory.
kelly,Police units have also increased patrols around homeless shelters and mass transit stations in the city.
flynn,"I ran his office for twelve years. Yes, we were very close. But he wouldn't come to me for help."
patient,Good morning.
kimble,Good morning.
roberts,"R.K.'s one smart, cold sonofabitch... He did her, no question."
gerard,"Gentlemen, I appreciate the cooperation of the Chicago police..."
salesman,"Did you say, 38/34?"
renfro,Was there anything in your initial investigation that would make you think Kimble would come back to Chicago.
rossetti,The man definitely has friends here.
gerard,What about lady friends?
kelly,Not that we found.
kelly,Right... You ever been downwind of a stockyard when the breeze is blowing? That's where we were sitting when Richard Kimble told that one...
nichols,He stopped me in my car. I gave him some money.
gerard,Where was this?
nichols,Outside our tennis -  - my tennis club.
gerard,Did he ask you for help?
nichols,I volunteered. He wouldn't accept it.
gerard,Why do you think he came back to Chicago?
nichols,He didn't tell me.
gerard,"I didn't ask you that, sir. I'm sure he was trying to protect you from having to lie for him."
gerard,"If you're really his friend, you'll help us bring him in unharmed."
nichols,"Why, so he can go back to prison? If you want help, gentlemen, you've come to the wrong man."
gerard,"Dr. Nichols, last year the U.S. Marshals' office closed out 11,003 warrants... 10,975 of those were captured. The twenty-eight others thought they were smarter than us... Now they're dead.  Nice car."
gerard,Stay on him.
woman doctor,Where's Rudy?
kimble,They said he's sick.
woman doctor,Didn't they tell you to put up the sign?
kimble,Uhhh. No they didn't.
woman doctor,Put up the 'wet floor' sign before someone gets hurt.
kimble, Asshole.
