Speaker,Dialogue
change, 2/12/68  22.  INT. RAILROAD BUNKHOUSE - DAY
harrigan,The hard money value of the men killed less my commi.sson amounts to. one hundred and fifty dollars. 104 THE MEN MUMBLE AND SHIFT. Harrigan holds up four wanted posters. The bounty hunters move closer for a better look.
harrigan,"Bishop... .Engstrom... .Lyle and Tector Gorch...are worth a total of four thousand five hundred dollars -- and you let them all ride outs  Any one'of these pelts would not only clear you with the company,.but would mean a bundle of cash to raise hell with. Harrigan stands, crosses to the door."
harrigan,"There won't be any tonight -- you move after them in ten minutes -- . But if one of you quits on me I'll pay a thousand dollar bonus to the man who kills him. 105 THE MEN SILENTLY BEGIN TO PACK THEIR BELONGINGS. Harrigan motions to Thornton, then exits."
harrigan,Why should I let you go with them?
harrigan,"You could just ride off -- even join him again -- you'd like that, wouldn't .you?"
thornton,What I like and what I. need are two different things.
harr igan,All right..
thornton,I need good men: You saw what happened today.
harrigan,We'll -see what it's worth -- five minutes.
tector,Just more of Texas as far as I'm concerned.
angel,You have no eyes. And he rises ahead with Pike and'Dutch across the tracks into Mexico.
thornton, V All rightt... .How many of you killed this one?
coffer,I knowed I wounded' three -- but I wasn't sure about --
thornton,(as the others yell in
thornton,This pelt should clear you up -- take him back to town...and tell Harrigan to get me a list of every Army garrison and payroll schedule on the border.  We got another half hour of light and they might be just up ahead counting their money.
sykes,Them others ain't comin'?
pike,No.
sykes," None of 'em? 111 PIKE TAKES THE BAGS OUT OF THE CORRAL TO THE FIRE that burns near an adobe wall and drops them on a poncho, watches as the others do the same."
sykes, But I got horses and gear for all them fellers like you said --
pike,"They won't need them -- we will. Sykes thinks this over, finally nods. a little and turns away. 115 LYLE AND HIS BROTHER AND DUTCH STAND in a half. circle around the poncho. waiting. Angel, the last, drops his saddle bag, then crosses to the wall and drops down to rest. For a long moment the men look down.a-t the pile of saddle bags."
lyle,About the sharing up...
lyle,(whining; pointing to
tector,"And I figure a 'share to that old man for watching the horses is a share too much. ll& PIKE TAKES A KNIFE OUT OF HIS BELT, opens a saddle bag,. takes out a sack of silver, kneels to slit the bag open."
lyle,"You hear me, Pike? -- I said it ain't fair... Pike stands,. flips the knife into the ground, faces the brothers."
