Speaker,Dialogue
melot,When the Irish came to Cornwall and my father surrendered. You spared a dozen out of a hundred. I am even less kind. The leader and 3 shall take this message home. As for the rest...
melot,Victory.
marke,Tristan?
melot,Simon too.
marke,Did I love him like a son or did I misuse him for my own purposes?
edyth,He knew. He knew.
bragnae,Where are we going?
isolde,Away.
bragnae,You're afflicted child. Speak to me! Your father will find us and have my head. You are my charge. Please!
isolde,I am no ones charge!
bragnae,You are. And you will be Morholts Lady!
isolde,And live a loveless life like my mam?
bragnae,Whats that?
isolde,Where?
bragnae,Isolde. Wait! Dont!  Isolde. Dont! Isolde!
isolde,Its a man.
bragnae,Dead?
isolde,Alive! Bragnae help me!
bragnae,Isolde?
isolde,Help me!
isolde,Start a fire! Quickly!
isolde,His heart falters.
bragnae,What are you doing?
isolde,He needs heat. Now! Get your clothes off! Quickly!
isolde,Hurry! Quickly! Smell that? Smell the poison? When he warms we will need thistle and bark.
bragnae,Ive not been naked with a man for 15 years!
isolde,Hello.  You've been sleeping a long time. You're in Ireland. Did you know that? Shh... It's alright. You're safe here. No one knows. Don't be scared. Just sleep... sleep.
bragnae,Nooo Nooo Noo!
isolde,"Its alright, you dont need that! I forgot to tell him about you..."
bragnae,Ill wait outside with the other beasts.
tristan,You said no one else knew.
isolde,Sorry... Shes... My maid. Sworn to silence. Um... lie down please. Please?
isolde,"Its good you are remembering things. This might sting. Do you remember anything else? The boat I found you in? How you got this? Too many questions. Here keep it dry. Here I found bread, you have water and fire. The ocean is outside if you wish a bath. You wont know where you are going so please dont try to leave. Just trust me."
tristan,Why are you doing this?
isolde,Ill be back
bragnae,"This is a dangerous game you are playing. Hes English, Isolde."
isolde,Then weve got him prisoner.
bragnae,"Under no circumstances tell him your name, you hear me? Not if you wish him to escape this place. Do you hear me?"
king donnchadh,Youve been away.
isolde,I had noticed. Yes I have a bit.
king donnchadh,Where?
isolde,Bragnae and I were spying the convent of Brittes ].
king donnchadh,Seeking sanctuary?
isolde,Some women need it.
king donnchadh,"Youll find no refuge in a new religion. Your place is here, with Morholt."
isolde,Any word of my betrothed?
king donnchadh,Overdue. But comforted no doubt that you yearn for him.
tristan,What's your name?
isolde,"Oh, I think it's better if we don't bother with names."
tristan,How can I thank you if I don't have your name?
isolde,"You just did. If you insist... my name is Bragnae. I'm a lady in waiting at the court. My parents are dead. My mother, she is the source of the kindness you find so puzzling. My father would've left you where you fell."
tristan,Tristan of Aragon.
isolde,"Well Tristan of Aragon, I'd guess about you too, but I think I've already seen everything."
bragnae,"Sir! I hope you appreciate the risks we are taking, and will honour us by leaving as soon as you are able."
tristan,"She likes me. Shes right though, you do risk."
isolde,There. What of your parents?
tristan,They also died when I was a child.
isolde,Of what?
tristan,A different type of Irish kindness.
isolde,Sorry.  [Bragnae returns and interrupts their moment of tenderness]
isolde,Tomorrow then?
tristan,Tomorrow.
isolde,There she who bore you brought you forth.
tristan,Ridiculous.
isolde,I happen to believe what that says. Dont you think there is more to life?
tristan,Than what?
isolde,"Something more than duty and death! Why are we capable of feelings if not to have them? Why long for things if they are not meant to be ours? Well dont listen to me. Youre so sure of things. Youre certainty, its like armour. I wish I had that."
tristan,Why would you need it?
isolde,The joy of being a lady? Wanting something I cant have. A life of my own.
bragnae,Time for sleep now.
isolde,Ill follow you later.
bragnae,You need to rest. In case your betrothed should want to see you.
tristan,Youre promised?
isolde,Yes.
tristan,Whats he like?
isolde,Dark. Tall. Nearly twice your size. An absolute gentleman.
tristan,I thought... earlier when you spoke of wanting something you cant have.
isolde,I didnt know what I was talking about.
isolde,"Outside, just past that bluff there is a boat. Thats how you should go when you leave. You should go soon."
tristan,How do you feel?
isolde,I dont know
isolde,Tristan! Theyve found your boat. At this very moment the King himself is scouring the coast. He will find you. He finds everyone. The tide is coming lets go!
tristan,Come with me. Come with me!
isolde,I cant
tristan,Why not? Please!
isolde,"Tristan, weve both known this cant be. Weve known this from the start. That doesnt mean it isnt true. It is. It just cannot be. I want to know that you are alive somewhere thinking of me from time to time. I want to know that there is more to this life and I cant know that if they kill you. Please?"
isolde,Go!
king donnchadh,"A Cornish warrior may be ashore. Beware. We seek him as I speak. Hopefully it is just his rotted corpse we'll find, for he has slain your betrothed. Morholt is dead. Fallen in battle. Isolde? Bragnae, comfort her."
bodkin,Shes stunned.
king donnchadh,As am I by her grief.
bodkin,We should assulat the British straight away. Crush them with maximum force.
king donnchadh,"Maximum force. Like that of Markes tribe with the maximum force you speak of? I will not confront them again until our numbers are refreshed. Until then, well have cunning divide them."
bodkin,Of what nature?
king donnchadh,"A prize, perhaps."
melot,Whats this about a tournament?
marke,Donnchadh. He has offered his daughter and the lands of Lyonesse as dowry to whichever English tribe wins. It is a clever way of setting us against each other.
melot,"Well, the other barons will see through that."
wictred,As baron of Wessex it is my duty to fight in this tournament for my people.
marke,For yourself you mean.
melot,And what of the support you promised Tristan?
wictred,Tristan is dead. My people have suffered enough. They see the wealth of Lyonesse as more real than any alliance. My mind is set.
baron,And ours as well.
marke,So be it.
melot,"You're weary, let me rally your friends. Ill lead them against D..."
marke,"Ah, Melot, Melot, Melot. You are my blood and you are a noble presence but......"
guard,Lord Marke! Hes back! Its Tristan!
man,It cannot be!
edyth,Tristan!
melot,I saw you dead.
tristan,I am delivered.
marke,How? How?
marke,A toast! Tristan! Back from the dead.
man,Tristan. The Irish King offers his daughter in tournament to divide the tribes. For the power and the wealth half the tribes have sent champions to fight at the...  Tristan!
man,God knows what happened to him.
isolde,"""My face in thine eyes, thine in mine appears,"
marke,What?
tristan,It is the only way to keep the alliance alive.
marke,I fail to see how fighting with our partners keeps us allies.
tristan,"Well they are all going to the tournament anyway. By announcing you will share the dowry with every Baron that remains loyal and in turn offering to support whomever prevails, the others would be compelled to follow you when you win."
marke,If we win. If we lose we could end up following Wictred. Id need an infallible champion!
tristan,Me.
marke,You are not yet healed.
tristan,Then this trip will be my tonic. I will be ready. I know I will.
marke,What is the source of this fervour?
tristan,"Let me go and win you a wife. She can make peace without spilling one drop of blood, and maybe heal a wound from which you still lack."
bodkin,Truce. You have safe passage.
tristan,How do I look?
henchman,How do you look?
melot,Where is this Princess? Whats her name? Isolde? I want to see what she looks like.
bragnae,There. Almost done.
isolde,"No, not quite. If I am to be a present I should be fully wrapped."
king donnchadh,See how the bees come to the honey.
tristan,Tristan of Aragon.
king donnchadh,So he lives.
bodkin,For the moment.
wictred,Wictred of Glastonbury.
wictred,I fight with no champion in my stead. Know that.
bodkin,Why Wictred?
king donnchadh,Because the Barons will never unite behind him.
melot,Do you think shes got the pox?
herald,Since the dawn of time...
herald,... Begin!
wictreds opponent,Make it for real!
wictred,What?
wictreds opponent,I yield!
man,You were great!
king donnchadh,Allow it!
melot,It was too easy for you Tristan. Not much for a third draw.
wictred,Mace.
melot,One more fight Tristan. Take deep breaths.
herald,Wictred: Lord of Saxonberg. Tristan: Champion of Cornwall. Warriors: Begin!
tristan,Yield!
king donnchadh,An impressive victory. Of course the man who defeats Morholt might be expected to triumph here.
tristan,"On behalf of Cornwall, I offer your daughter a place on our throne. The throne of England, united behind one leader."
king donnchadh,Isolde! Perhaps it is just that he who took a husband provides one.
isolde,Im yours.
king donnchadh,No. Tristan of Aragon has won you on behalf of Lord Marke of Cornwall.
melot,Lets go.
king donnchadh,"Let them take her across the sea. After the wedding I'll disavow Isolde, the alliance will crumble."
henchman,Tristan. Princess wants to speak to you.
isolde,You risked your life to give me to another man.
tristan,You said your name was Bragnae. Why did you do that?
isolde,Oh what have I done? Stop this thing. Say something.
tristan,I can't. I won you in my King's name.
isolde,But I am yours. You touched me and I yielded...
tristan,It doesn't matter.
isolde,"It is the only thing that matters Tristan. Leave with me, I will go anywhere."
tristan,Your marriage will end a hundred years of bloodshed.
isolde,My marriage to another man!
tristan,Isolde. You will live with this. We must.
isolde,Don't do this to me.
melot,"Tristan, weve made shore."
marke,What if shes a hag? Or maybe she wont have me!
edyth,She will brother. Youre the prize.
isolde,My Lord.
marke,Isolde? Welcome.
isolde,If things were different. If we lived in a place without duty... would you be with me?
tristan,That place does not exist.
isolde,I'll pretend it's you.
marke,"Youre trembling. You are far from home and I am a stranger still. But you mustnt fear me. My wish is to make you happy, as a wife.. as a women and hopefully one day, the fact that I am not whole will not offend you."
marke,Thats pretty. Did you make it?
isolde,It was a present.
man,Tristan?
tristan,Might I stay here a while?
man,Of course.
edyth,Tristan!
marke,Ive never seen him like this before.
isolde,Perhaps someone his own age should speak with him.
isolde,They believe you are distant. They are worried about you. So am I.
tristan,"I can tell. Laughing at the market, holding hands, a caress on the neck when he pours you wine."
isolde,He is my husband. I remember his Kingdom comes before my life.
tristan,"Yes well, I must confess I thought you might find more difficulties in performing your duty."
isolde,Am I not permitted a single moment without mourning? Living with this Tristan as you said we must.
tristan,"I live in torture thinking of these moments. With every look he gives you I get sicker and sicker. There is a burning in me, I feel on fire and guilt and I can't get rid of either. Does it make you happy to know that?"
isolde,The Roman Bridge. I can get to it without being seen. And I will go there anytime to be there with you.
marke,"Welcome bands of Anglia, Rothgar and Orick. Wessex: Kaye and Wictred."
wictred,"As you will be King and his daughter Queen, does that mean Donnchadh will be coming to the coronation."
marke,"It does. On the next full moon, all will attend."
wictred,A lot can happen in a month
marke,"Bearing that in mind, and given the instabilities of our new land I shall be naming a second. My sister has raised one, capable of guiding you if the need should arise. He is a man of passion, fierce in battle who has learnt to tame his heart with his head. I give you Tristan of Aragon."
marke,"For the first time since the Romans, this country stands united."
tristan,"I cant be your second. Melot must be. He is blood. Besides, I wish to journey north."
marke,"You no longer sleep at Dor, and now you dont want to be my second. Do you find no comfort in your home? These stone walls that you helped build?"
tristan,I find these walls a prison.
