Speaker,Dialogue
nevins,"Alright, Mr.    Bourne, is that your name?  Name's Nevin   s. I'm with the US Consulate. Could I see    your passport?"
nevins, Yes...
127,"127       INT. FERRY/SECURITY HOLDING ROOM -- NIGHT NEVINS stirring, the CARABINIERI still out. A phone starts to RING. Nevins' phone. Finally sitting up, he answers."
nevins,Hello?
cronin,So your cover at the time was what?
nicky,That I was an American student in Paris.
cronin,What exactly did your job with Treadstone in Paris consist of?
nicky,"Ih    ad two re   sponsibilities. One was     to coo   rdinate l   ogistical operations. Th    e oth   er was to    monitor the health of th   e age   nts, to m   ake sure they were up to    date wit   h their m   edications."
cronin,"Health, meaning what?"
nicky,Their mental health.       Because of what they'd been through.       They were prone to a variety of problems.
pamela,                                    * What kind of problems?
nicky,Depression. Anger. Compulsive behaviors. They had physical symptoms -- headaches -- sensitivity to light --
nicky,Before this?        Before Bourne?   No.
abbott,Were you familiar with the training program?
nicky,"The details? No. I mean,         I was told it was voluntary. I don't kno       w if that's true or not, but that's wha      t I was told.  Look, they took vulnerable       subjects, okay? You mix that with th       e right pharmacology and some serio      us behavior modification, and, I don't       know, I mean, I guess anything's possible      ."
nicky,"Am I a doctor, no, but..."
pamela,Are you an expert in amnesia?
nicky,"Look, what do you want me to say? I was there. I believed him."
pamela,Believed what?
nicky,I believed Jason Bourne had suffered a severe traumatic breakdown.
pamela,So he fooled you.
nicky, If you say so.                                       *
pamela,                           * Eve   r feel so   rry for him? For what he'd bee   n through   ?
nicky,You're making it out like we're friends here or something. I met him alone twice.
pamela,You felt nothing? No spark? Two young people in Paris? Dangerous missions? Life and death?
nicky," You mean, did I want a date?"
pamela,Did you?
nicky,These were killers. Conklin had them all jacked up. They were Dobermans.
pamela,Some women like Dobermans --
nicky,What do you want from me?       I was reassigned. I'm out.                                 *
pamela,"See   , that's a problem for me, Nicky.              * Wha   tever he's doing, we need to end it.           * Thi   s isn't the kind of mess you walk away         * fro   m.                                             *"
kim,"--    so far Bourne's had no contact with              * any   one on the list -- Langley pulled an             * ima   ge out of Naples, it's uploading right now   ."
kurt,Coming in now...
pamela, Is it him?
cronin,"He's not hiding, that's for sure."
zorn,Why Naples?     Why now?
kurt,Could be random.
cronin,Maybe he's running.
abbott,On his own passport?
kim, What's he actually doing?
cronin,What's he doing? He's making his first mistake...
nicky,"It's not a m   istake.                                           * If he's in N   aples, on his own passport,            * there's a re   ason.                                  *"
142,142   EXT. ANONYMOUS MUNICH NEIGHBORHOOD -- DAY Discreet and chilly.           A car pulls up.    A MAN gets out.
munich,We don't see his face as he heads in.
bourne,I emptied it.
jarda, Felt a little light.
bourne,Drop it.
jarda, Sorry. Old habits.
bourne,You still should've moved.
jarda,I like it here. 
bourne,She wouldn't let me.  She's the only reason you're alive.
jarda,What do you want?
bourne,Conklin.
jarda,He's dead.
bourne,Try again.
jarda,Shot dead in Paris.       Dead the night you walked out.
jarda,Nobody. They shut it down. We're the last two. It's over... 
bourne,"You're lying. If it's over, why are they after me?"
jarda,I don't know.
bourne,Who sent you to Greece?
jarda,A voice. A voice from the States. Someone new.
bourne,Pamela Landy?
jarda,I don't know who that is.
bourne,What's going on in Berlin?
jarda,I don't know! Why would I lie?
bourne,I did.
jarda,I thought you were here to kill me.
bourne,What did you do?
jarda,I'm sorry.
bourne,How long? How long do I have -- 
bourne,-- car keys?
jarda,-- my coat -- but we should --
bourne,-- what? --
jarda,-- take the back -- get another car --
pamela,"So he beats    a man within an inch of his             * life, strang   les him, then blows the place           * up?                                                    *  For someone    with amnesia, he certainly hasn't forgo   tten how to kill, has he?"
cronin,-- hey! -- they've got him boxed in! -- 
zorn,Forget it.     They lost him.
teddy,What're you talking about?      They've got a three block perimeter.
zorn,You can't see him? He's not in front of you? Forget it. He's gone.
zorn,You better start listening to someone.                  * Cause we've been there.                                 *
nicky, I don't think we need to keep looking for him anyway.
pamela,And why is that?
nicky,Because he's doing just what he said he'd               * do. He's coming for us.
165,"165   EXT. HOTEL BRECKER -- BERLIN -- NIGHT -- RAIN It is pouring rain. Seen from that Hellish car, A HUGE, DISTINCTIVE, NEEDLE-LIKE TOWER dominates the skyline, lights flashing through the dark and wet --"
conklin,Neski. Vladimir Neski...  Say it.
bourne,Neski.     Hotel Brecker.     Papers.                          *
conklin,"This is not a drill, soldier. We're clear on that? This is a live project and you are go. Training is over."
bourne,"Yes, sir."
conklin,"Good, then g   imme the damn picture back.  Pull over, h   e's getting out."
pamela,Anything?
teddy,No.   Munich's a bust.   He's loose.                   *
his pov,"As they pile out of the van, start inside. Acknowledged by a SECURITY DETAIL pretending to loiter outside. As we hear:"
pamela,"--     let's sta   y on the local    cops, we n   eed av     ehicle --    parking ticket    -- someth   ing -- Lan    gley's of   fered to upload    any satel   lite ima    ging we n   eed, so let's f   ind a targ   et to loo    k for. "
pamela,Is it fresh?
nicky,It's got caffeine in it.   That's all I know.
pamela,Pamela Landy.
pamela,Who is this?
pamela, Bourne?
bourne,I want to come in.
pamela,"Okay, how do you want to do it?                     *"
bourne,I want someone I know to take me in.                *
pamela,Who?
bourne,There was a girl in Paris. Part of the program. She used to handle the medication.
pamela,What if we can't find her?
abbott,"Call a Mayday into Berlin station. We need snipers, DOD, whatever they got."
pamela,Snipers?    Hold on -- he said he wants to                    * come in.
abbott,"My    ass he do   es. You're pla    ying with fire, Pam   ela. Mar    shall said nail    him to the               * wal   l. I don    't know how you    interpreted              * tha   t, but I    don't think he    meant                     * rep   atriate h   im.                                         *"
pamela,Don't you want answers?
abbott,There are no       answers. Ther    e's either Jason Bourne       alive or Jason    Bourne dead. And I for on      e would prefer    the latter. And what abo      ut her?  You just sen      d her out to th   is lunatic with no protectio      n?
pamela,What do you think?       Is he coming in?
nicky,I don't know. He was sick.           He wanted out. I believed him.                                          *
pamela,Alright...
pamela,Where's Nicky?
abbott,Goddamn it -- I told you.
cronin,Listen!   Listen!
bourne's voice,What did I say? What did I tell you in Paris?
