Speaker,Dialogue
walsingham,I speak to her daily.
ursula,You know what I mean. You've done enough. No man could do more.
walsingham,I can't leave court yet. The Queen needs me.
ursula,"So you're to die in harness like a pack horse, are you? And for what?  Mary! William! WALSINGHAM These are difficult times- URSULA It's always difficult times. Mary joins them, her arm in William's. Walsingham seizes the opportunity to change the subject."
mary,"H ere by me, William."
william,"Truth will always hate falsehood, ma'am."
mary,"Why do we have to talk about war? Tell us your nice news, William. Are you married yet?"
william, Not yet.
mary,Then we must find you a nice sensible English wife.
william,"No, no. I won't be staying long. I must go back to my studies."
walsingham,"Not too soon, I hope. Every man deserves a rest."
ursula,"Listen to him! When did you last rest, I'd like to know?  He won't listen to me. Not a thought for his health. You tell him, he's your brother. He'll die at his desk, out of sheer selfishness."
lizabeth,Your highness does me great honour. Shall we eat our dinner? It should prove almost as restorative as my love.
court lady,"So tell me, Mr Raleigh, in your sea battles - how do you sink an enemy ship? You shoot holes in its sides, I suppose."
raleigh,"No, ma'am. A sunk ship is of no value. The object is to capture and command."
court lady,And how do you do that?
raleigh,Surprise. Speed. Irresistible violence.
elizabeth,"I think you're not as accustomed as I am to eating in public. I have a secret. lowering her voice) I pretend there's a pane of glass - eine Glasscheibe - between me and them. S he moves one hand before her face, indicating an imaginary pane of glass. As she looks, she sees Bess staring at someone - follows her gaze - and is amused to find that the object of her attention is also Raleigh."
elizabeth,"They can see me, but they can't hear me, or touch me. You should try it."
elizabeth,Bess.
elizabeth, He interests me. Talk to him.
bess,"Him, my lady?"
elizabeth,Him.
elizabeth,His highness is tired after his journey.
archduke charles,"No man can be tired in the presence of so lovely a Queen. E lizabeth speaks so only he can hear, in German."
elizabeth,"(You play the game very well, my young friend. But don't you"
archduke charles," ELIZABETH (You're thinking, perhaps, that"
bess,"The pirate is not too bored by the vanities of the court, I hope."
raleigh,"A simple sailor, dazzled by the bright lights."
bess,If you can bring yourself to leave the dazzle of the bright lights for a moment -
raleigh,D rawn away by the brightest light of all.
bess,That can only mean the Queen.
raleigh,I don't presume to raise my eyes so high.
bess,It seems you've presumed after all.
raleigh,It seems you're determined to think the worst of me.
bess,Tell me what it is you really want.
raleigh,What every man wants. Money. Fame. Love.
bess,In that order?
raleigh,Each leads to the next. The money will buy and equip ships for a return voyage to the New World. The success of my infant colony there will make me famous. The fame will bring me love.
bess,It seems rather a long way round.
raleigh,"There are benefits along the way. It is something, after all, to take a blank on the map and build there a shining city."
bess,Which you will no doubt name after yourself.
raleigh, No doubt. B
ess,"Well, then. I am answered."
raleigh,May I ask a question in return?
bess,Of course.
raleigh,How am I to win the Queen's favour?
bess,"Why should I tell you that, sir?"
raleigh,"I've little enough to offer, I know. But whatever I have to give - ask, and it's yours."
bess,"My advice to you is, say what you mean to say as plainly as possible. All men flatter the Queen in the hope of advancement. Pay her the compliment of truth."
raleigh,I don't even know your name.
bess,Elizabeth Throckmorton.
raleigh,A second Elizabeth.
bess,"Everyone calls me Bess. S he goes back to the Queen, as Elizabeth is rising to leave. She speaks to the company."
elizabeth,His highness the Archduke informs me that my charms overwhelm him. He will retire to his private quarters to rest.
elizabeth,He's a sweet boy. I don't want him hurt by your schemes.
elizabeth,I suspect him of being a professional charmer. Am I right?
bess,"He is certainly charming, my lady."
elizabeth,There are duller professions. And what is it he hopes to gain by his charms?
bess,He hopes for glory in his New World. He dreams of building a shining city.
mary,Dismissed? On whose orders?
mary,Do stop snivelling.
annette,"The Warden, my lady."
mary,The Warden? My Warden?
mary,"What have you done now, you bad man? Sent away my laundress? How am I to have clean clothes? Or do"
