Speaker,Dialogue
brigham," Strike one to all units;  Evelda Drumgo's coming out behind two shooters. Showdown Showdown Showdown.  Put em on the ground, as quietly as we can. Boat's due in thirty seconds, let's do it."
evelda,F'that's the thing to do...
brigham,I...
brigham,Who called the TV CREWS...?
starling,Security!!!
verger, ...you forgot to cancel the plan.
pazzi,But is that necessary...
fell,"Ah, Commendatore... you, too, admire Mozart."
pazzi, Who does not?
fell,"Take mine.  Can it be that you are lovelier, even, than at our last encounter...?"
fell,...how so?
man's voice, Time to get something to eat...
fell, ...where shall we eat.  And what shall we eat.
krendler,I came to pay my...
verger,"Quod videt monumentum, circumspice. Need I translate?"
verger,Show me the Pigs.
fell, are linked in the ancient and the madeadeval mind.
pazzi,I require...
hannibal,Young man...
child,It's real funny.
cordell,He escaped...
verger,"Follow Starling, stake out Starling. Increase the pressure on Starling.  He will come to her."
crawford,And I brought this for you...
starling,What is it?
starling,New...?
second newsie,Agent Starling:  what was your reaction to your indictment...?
brigham,...indictment...?
cordell,...it's the F.B.I.
mapp, Sad day.
starling,...what...?
mapp,N'not that sad.
starling,No.
starling,"What would you guess, Ardelia?"
mapp,Don't shoot yourself.
starling,Why?
psychiatrist,"And you have been dreaming... dreaming about this Hat, and..."
psychiatrist,...yes...?
psychiatrist,When?
man,"...got her staked out.  Yeah, she's still in with the..."
starling,..this is Clarice Starling..  I...
verger, Yaaasss...
cordell,"...thank you...  And how are you this evening, Doctor? No, we know that you're awake..."
verger," Good evening, Dr. Lechter.  Thank you for coming.  I am sorry that we could not meet under more pleasant circumstances."
verger," Thank you, Cordell."
verger,ARE YOU DONE?
lechter,Mmm...
cordell,"Yes, I did."
lechter, ..suitcase...locker...
lechter, ...unmarked hundreds....
lechter,Perhaps... shall we see...?
verger,"What's happening, would you please...?"
lechter,The girl could use some help.
verger,You're free...
lechter,Let the girl go.
cordell,Why?
verger,...when I... 
cordell,No.  And...
franklin,I like Popcorn...
franklin,Awright.
franklin,Ain't got no home.
hannibal, Yes.  You shall have it...
hannibal,...that's right...
lechter,You look lovely.
starling,"Thank you.  No, I know you'd prefer ""I'm glad you find me so..."""
starling,What is that that smells so wonderful.
starling,Thanks to you...
lechter,"Now, what were we last speaking of...?"
lechter,...I'm sorry....?
lechter,Indeed we were.
starling,I feel weak...
lechter, ...you must eat.
lechter," The gift, of course is not the meal-- but the identification--which of us does not need help?  The identity, of your true enemy...? ...for you always sought to befriend, to wish the love of those who wished you ill."
swat man,...I've got her...
swat officer, ...ohmiGod.
