Speaker,Dialogue
holmes,Well done.   Thank you.
holmes," Not done. Finished. And as I said, thank you, it was most pleasurable."
22.,"15A-17 CONTINUED:                                              15A-17 Face twisted in disgust, McMurdo strides forward and SPITS CONTEMPTUOUSLY at Holmes, catching him on the back of the head. The crowd falls silent."
holmes,Hm.   Plymouth gin.
guard captain,"Charlie, what the hell's going on down here?"
23.,"18A   CONTINUED:                                                  18A CHARLIE It's Jack, he tried to stop Blackwood from doing his spells. And now he's in some kind of fit."
guard captain," Charlie, get, down here and get him to the infirmary."
guard captain,"All right, Blackwood, what's this all about?"
blackwood,I've a request. GUARD CAPTAIN You don't get nothin' `til you stop this devil nonsense. That's a holy book --
guard captain, -- and you will respect it!
guard captain,"Boy, you want me to muzzle you --"
23a.,"19   CONTINUED:                                                     19 Blackwood keeps whispering.     The Captain falls to one knee, keeps coughing."
24.,"19   CONTINUED:                                                19 GUARD #2 Get him to the infirmary, now!"
blackwood,I've a request.
holmes,I find that it lifts my spirits.
watson,"It's a pathological amorbic process, it increases tissue change and weakness. And you know what a black reaction comes on you afterwards."
24a.,"22   CONTINUED:                                                  22 HOLMES Look at this. If you play a chromatic scale, they move clockwise. As soon as you switch to a pentatonic scale --"
watson, Really? What about when you -- oops --
25.,22   CONTINUED:                                                  22 WATSON Let's go. Lestrade wants you at Pentonville Prison.
holmes,"That's your job, not mine."
watson,You're Blackwood's last request. Says he has information he'll give only to you.
holmes,Look at that structure. What has it been? Five years' work already? Are you aware that is the first combination of bascule and suspension bridge. Very innovative.
26.,23   CONTINUED:                                                    23
holmes,"Oh, I have your cut from last night, by the way. You weren't there so I laid your customary bet --"
holmes,"You're right... I'll keep it with your check book, locked safely away in my drawer."
holmes,The opera house is featuring Don Giovanni and I could easily procure two tickets if you had some cultural inclination this evening.
holmes,"You have the grand gift of silence, Watson. It makes you quite invaluable as a companion."
watson,And your grand gift is the uncanny ability to demoralize people. I was aware she'd been engaged. She told me. Holmes rubs his jaw.
holmes,So that's a `no' to the opera then?
watson,That's my waistcoat.
holmes,It's too small for you.
watson,"Well, it's my property and I want it back. "
26aa.,"23   CONTINUED:                                              23 Holmes hands him the waistcoat which he promptly tosses out of the carriage window. Holmes frowns, looks out the opposite window."
watson,You go ahead. I've no business with him while he's alive.
holmes,Where are all the other prisoners?
guard,"We had to move `em, sir, otherwise we were going to have a riot on our hands. There's something about him... it's like he can get inside your head."
holmes,"I'm sure I can find my own way from here, if you have other duties to attend to."
guard,"Much obliged, sir. Thank you, thank you."
holmes,Love what you've done with the place.
blackwood,Thank you for joining me.
28.,27   CONTINUED:                                                   27 HOLMES A small point of concern.
blackwood,How can I help?
holmes,"I'd already followed the murders with some interest and while my heart went out to the families of the victims, I couldn't but notice a criminal mastery in the stroke of your brush --"
blackwood,You're too kind.
holmes,"However, by comparison, your work in the crypt was akin to a finger painting."
blackwood,"So now you're curious as to whether there's a larger game afoot, and that's why you're really here."
holmes,"Actually, my friend will pronounce you dead shortly and I thought I might keep him company."
blackwood,Allow me to enlighten you. Your mistake is to imagine that anything earthly has led to this moment. Your error in judgement is to assume I've been holding the brush at all -- I am merely the channel.
29.,27   CONTINUED:                                                27 HOLMES My only wish is that I'd caught you earlier. I might have spared five lives.
blackwood,"Those lives were a necessity, a sacrifice. Five otherwise meaningless creatures called to serve a greater purpose."
holmes,"I wonder if they'd let Watson and I dissect your brain -- after you're hanged, of course. I'd wager there's some deformity that would be scientifically significant. Then you would serve a greater purpose, too."
blackwood,"Mr. Holmes, you must widen your gaze. I'm concerned you underestimate the gravity of coming events.  I sense fragility beneath your mask of logic, and it worries me. Steel your mind, Holmes, I need you."
holmes,"I must say, you've come a long way down from the House of Lords."
blackwood,But I will rise again.
holmes,"Bon voyage, Blackwood."
blackwood,"Pay attention! Three more shall die, and there is nothing you can do to save them. "
29a.,"27   CONTINUED:  You must accept that this is beyond your control, or by the time you realize it was you that made it all possible it will be the last sane thought in your head."
lestrade,What did he want?
holmes,Nothing.
holmes,"Don't think you're needed, Father. Not for this one."
30.,29   CONTINUED:                                                     29 A SHOT OF BLACKWOOD
blackwood,Death is only the beginning.
33a.,30   CONTINUED:                                              30 She stands and pulls out a large bag of coins.
holmes,Keep your money. I didn't say I'd take the case.
irene,They gave me our old room.
irene,"Hello, John."
irene," emerges from the alley holding a lovely bunch of roses. She sniffs them appreciatively, walks on.  CUT TO:"
moriarty,I assume he'll do it?
irene,"Not for money, but for me.   I wager he'll find our man within twenty-four hours."
moriarty,You wager? 
34aa.,33   CONTINUED:                                                    33 IRENE I'm certain.
moriarty,A better word.     I sincerely hope it's accurate.
irene,I --
beggar,"Ow, me leg!"
34a.,34   CONTINUED:                                                   34 COACH DRIVER Get out of it!
beggar,"You run me over, sir, yes you did!"
coach driver,You fell right into the carriage!
beggar,"A little charity would go a long way, yes it would, sir."
watson,"Look at you, I can't believe you ran after her like a schoolboy again. Leaping about, all aflutter. Are you a masochist?"
holmes,Allow me to explain.
watson,"Don't you remember what she did to you? She turned you inside out, she made a proper idiot of you. I'm sorry, you were going to explain something..."
holmes,"Thank you, I --"
watson,"I know, instead of just being tricked into being a witness at her wedding like last time --"
holmes,I don't believe --
watson,"What's she after, anyway?"
36.,35   CONTINUED:                                                    35 HOLMES Now it's time to press on.
36a.,"35     CONTINUED:                                               35 HOLMES No, I'm just saying, one has disproportionate limbs the other does not."
irene,Why don't I see myself out.
irene,"Oh, how nice of you."
37a.,"38B   CONTINUED:                                                  38B IRENE Oh, look, a wallet. Doesn't look like yours, does it? And -- naughty boy -- here's another one. I'll return them, shall I?"
irene,"These are lovely, thank you."
holmes,"Now, that's the Irene I know."
holmes,"This man intrigues me, Watson. He's got Adler on edge."
watson,Which is no mean feat.
holmes,"Well, I may not have a choice. A man has to make a living. After all, I'll be paying the rent entirely on my own."
constable clark,"Inspector Lestrade asks that you come with me, at once."
38.,"40   CONTINUED:                                           40 HOLMES  What's he done now, lost his way to Scotland Yard? Watson, grab a compass. You means us."
watson,Us means you.
constable clark,"It's Lord Blackwood, sir. It appears he's come back from the dead."
constable clark,"A groundsman saw him walking through the graves, just this morning."
watson,I'll leave this one in your capable hands. I have tea with Mary and her parents this evening.
holmes,It is not my reputation at stake here.
watson,Look at this mess. Nothing but standard-issue police bootprints. Any possible evidence there might have been has been trampled.
39.,"42   CONTINUED:                                                 42 Holmes offers Lestrade his handkerchief, Lestrade waves it off."
lestrade,Look at those slabs of marble -- they're half a ton each if they're a pound -- smashed outward like they were nothing.
lestrade,"Explain it if you can, Holmes."
holmes,And the coffin?
lestrade,We're digging it up now. The witness is over there. You can question him if you like -- but you won't get much.
lestrade," If you lot don't stop behaving like a bunch of superstitious milk maids, you're on double-time! You're an embarrassment! Also, you're forbidden to talk about this to anyone, not a word. Are we bloody clear on that?"
40.,42   CONTINUED:                                                   42 THE GROUNDSKEEPER
watson,He's in shock.     We should give him a few moments.
lestrade,The witness stated that he saw Lord Blackwood rise from the grave.  Well? You pronounced the man dead.
watson," He had no pulse. HOLMES Inspector, do you know if this is a spruce or a sycamore?"
lestrade,OPEN IT!!
