Speaker,Dialogue
swanbeck,'You're sorry and I'm sorry.'
ethan,You gotta be kidding.
nekhorvich," Well, Dmitri!  How are you?.."
ethan,..I'm fine..and you?
nekhorvich,I'm fine..
ethan,I'm fine and you're fine..
nekhorvich,"I'm fine too.. I'm fine and you're fine - do you remember, dear fried, how you got Sergei and I to repeat those lines from Dr. Strangelove and we gave you the name of that silly Soviet Premier because we didn't know your name?..In those days, you not only saved our lives, you saved our sanity.  'Now, then Dmitri - we have this little problem': Every search for a hero must begin with something that every hero requires; a villain.  Therefore, in a search for our hero, Bellerophon, we created a monster Chimera.  I beg you, Dmitri, come to Sydney and accompany me to Atlanta immediately. However we travel, I must arrive at me destination, within 20 hours of departure. Forgive this fanciful explanation, but for now prudence dictates that I communicate nothing but the gravest urgency. I fear I can entrust this to no one but you, Dmitri.  as we say, 'I'm sorry and you're sorry'.."
swanbeck,Let me ask you something.  You have any idea what the hell he's talking about?
ethan,"An idea, yeah."
swanbeck,Like?
ethan,Like it's a good idea to pick him up in a hurry.  And a bad idea to fly him on a commercial carrier.  So let's get on with it.  He's still in Sydney?
swanbeck,"Dr. Vladimir Nekhorvich is dead.  So is his colleague, Gradski, but that happened earlier.  We had Nekhorvich on a flight from Sydney that crashed in the Rockies.."
ethan,"If he didn't want to go anywhere without me, how did you get him on the flight?"
swanbeck,You were there.
swanbeck,"When I couldn't find you, I had to replace you.  Sean Ambrose was the obvious choice. He double you, what?  Two, three times?"
ethan,Twice.
swanbeck,What did you think of him?
swanbeck,Not necessarily.
swanbeck,"Airline record list Captain Harold Macintosh as the pilot for Flt 2207.  as far as the media and all governmental agencies are concerned, Captain Macintosh died on the flight, but in fact he missed it.  He did, however make the next flight - in cargo, stuffed into a rather small suitcase considering his size."
ethan,So there's one thing we know Ambrose doesn't.
swanbeck,Then you do think it was Ambrose.
ethan,Whatever Nekhorvich was carrying Sean wanted and he wanted to conceal the fact that he took it.
swanbeck,Enough to kill Nekhorvich and two hundred innocent passengers?
ethan,Sean feels he hasn't done the job unless he leaves a lot of hats on the ground.
swanbeck,The question is why?  What was this Chimera Nekhorvich was carrying?
ethan,Right now only Ambrose knows that.
swanbeck,"In any case, you've got to recover Chimera and bring it to us."
ethan,"In order to do that, I've got to figure out how he plans to make money with it."
swanbeck,- right.  In fact since the plane went down our banking sources have confirmed a marked increase in the stock pilling of cash in terrorists accounts.
ethan,'Terrorists?'
swanbeck,Well you know Nekhorvich's history. You're the one who got him out of the Soviet Union was it still in bio- weapon business.
ethan,If that's what you're thinking Ambrose would have set up a bidding situation with any number of buyers before he got on the plane.  Locating him in time to stop something like that -
swanbeck,- is where Miss Hall comes in.
ethan, Excuse me?
swanbeck,Miss Hall and Ambrose had a relationship which he took very seriously.  She walked away and he's wanting her back ever since.  We believe she's our surest and quickest way of location him.
ethan, And then what?
swanbeck,Then makes sure she continues to see him. Gets him confide in her and report to you.
ethan,You made it sound as if I was recruiting her for her skills as a thief.
swanbeck,"Well, then I mislead you.  Or you made the wrong assumption.  Either way we're asking her to resume a prior relationship, not do anything she hasn't already done."
ethan,She's got no training for this kind of thing.
swanbeck,Go to bed with a man and lie to him? She's a woman.  She's got all the training she needs.
ethan,I don't think I can get her to do it.
swanbeck,You mean it'll be difficult.
ethan,Very.
swanbeck,"Well it's not mission difficult, Hunt. It's mission impossible.  Difficult should be a walk in the park for you.  If you can think of a quicker way to get to Ambrose, you're welcome to try.  Oh, by the way, you might want to take a look at these..if you have any further qualms about getting her to do the job."
street vendor,"Senor, senor!  Your flowers."
ethan,Yes.  They're very nice..
nyah,What's the population of Seville any idea?
ethan,"Five, six-hundred thousand."
nyah,There's nearly 2 million in London.
ethan,And six billion in the world.
nyah,"That's lot of people out there..how many of them, I wonder, are capable of something like that?"
ethan,"Sean Ambrose, for one."
nyah,Right...
nyah," Not that it matter much but..I seem to recall you staying something like, 'I was hoping we could work together.'"
ethan,"This wasn't what I had in mind, Nyah."
nyah,But it is what you'd like me to do. so tell me to do it..
ethan,Go and insinuate yourself back into Sean's life.
nyah,I'd like a little more conviction..
ethan,So would I.  But it's not mine to give.
nyah, You've either got it or you don't.  Let your conscience be your guide?
ethan,Something like that.
nyah,But I don't have a conscience.  I'm a bloody thief.
ethan,You can be a thief and have a conscience.
nyah,"No.  You can be a thief and have a conscience:  Not me.  Why did you have to tell me about this!  What do I have to do to get away from this guy?  When you're with him, he messes about with your head every waking moment..even now I'll be at some out-of- the-way-place, a tin of caviar and a bottle of Crystal shows up at the table, with two glass, God knows how he finds out at any given moment where I am in the world but he does.  And it looks like he's done it again.  You know his definition of a  true paranoid?"
ethan,I don't.
nyah,Someone in possession of all the facts.  Are you telling me I have to do this?
ethan,"Generally, I don't favor coercing someone. Not when there's a chance my life could end up in their hands."
nyah,And that's the only reason?
ethan,Can you think of a better one?
nyah,Not me.  I was just hoping you might..or that..somehow in the course of business this got personal as well as physical.
ethan,"Look, would it make you feel better if I didn't want you to do this?"
nyah,Much.
ethan,Then feel better!..
nyah,Sean will never be anything but suspicious if he picks up some sort of 'yoo-hoo-I'm- not-nad' message.  Not after the way we broke up.
ethan,What wouldn't make him suspicious?
nyah,Probably that I needed him in some urgent way..destitute - in serious trouble..the kind I couldn't possible sort out myself..
ethan,"Serious trouble, Nyah, is something I can always arrange.."
ethan,This little chip sends a coded signal that can be picked up only by our computer.
ethan's voice,When it's in your ankle we can track you within three feet of anywhere in the world.
ethan,"Look, I can't run your arrest in CNN, but I guarantee he's monitoring every law enforcement agency in the world, for what they might be saying about him, if nothing else - he's got the ability and, we assume, the desire to get you out of there."
nyah,This doesn't seem to be accomplishing much.
ethan,"Well, I mean it's not a total loss.  It is keeping a very capable thief off the street.."
nyah,Very funny..maybe he has heard and doesn't want to know.  Maybe he's lost interest.
guard, Your lawyer to see you.
nyah,What lawyer?
ethan,"Well, here we go."
ethan,Stop and look for something in you purse..kneel down..
nyah,Limo's waiting.
ethan,"- Ambrose will have counter-surveillance second to no one's.  When and if he contacts you, push this button before you actually end up under his roof it'll scramble your transmission to us."
nyah,When will you be there?
ethan,Before you are.
nyah,How can you possibly?  I've got to get right on the plane.  I'm leaving now.
ethan,You don't trust me.
nyah,"Oh, I do.  But as we know I'm a very poor judge of character."
ethan,He's got you on Qantas flight 2735.  It's going to be delayed.
nyah,Yes?
ethan,You'll be fine.  I'm going to lose you.
nyah,"Ethan, you take care of yourself, I'll take care of myself because if push comes to shove, I'm gonna bail - and without giving two week notice."
ethan,"Well, forewarned is forearmed.  And while we're at it, be especially sensitive to any sudden change in Ambrose's plans, especially any involving you.."
ethan's voice,"Welcome to Australia, mate."
luther,Thanks - mate.
luther,It's the transponder.
ethan,Put in the coordinates and let's get a visual.  The visuals aren't coming up.
luther,The satellite doesn't work as fast as I do.
billy,"Yeah, I've heard about you, Luther, and I just want to tell you it's an honor and a pleasure to be working with you blokes, whoaa!  That's some transponder!"
luther, It certainly is.  How did we get so lucky?
billy,Damn.  Just when it was about to get interesting.
ethan,"It's okay.  She scrambled the transmission.  Luther, continue feeding the GPS her position."
ethan,Can't we speed this up.
luther,With what?  This is the only computer that'll do this.
