Speaker,Dialogue
andy,"Yogi said it ain't over till it's over. Till the fat lady sings. There's life in you, J.D., I feel it. I'll never give up on you, and you'll never give up on yourself --"
andy,Besides ... you've got so much to live for.
andy,Sorry.   I won't be long.
martha,How's the sleeping prince?
andy,Still sleeping.  It's bad enough when it's old people. But a young handsome guy --
martha,"Don't let this job get you, honey. It's eight hours, not twenty-four. Get out, meet somebody ... get laid --"
andy," You can have my orgasms, Martha. I'll make up for 'em later."
storm, -- Nurse ...
jones,Internal affairs. Detective Sergeant Jones.
andy,My name is Andrea Simpson. I'm calling from U.C.I. Medical Center. I'd like to speak with  Captain O'Malley.
jones,"What is this in regard to, please?"
andy,"I have a John Doe coma patient, code access 461 zebra, with instructions to notify upon any change in condition."
jones,What is the change?
andy, The patient has regained consciousness.
jones," I'm sorry, Ms. Simpson. Captain O'Malley is no longer with this division. Let me take your information. Please ... contact no one else on this matter."
storm,Miss ... please ... they won't tell me ... think I'm too disorient --
andy,This is U.C.I. Medical Center. You've been in a coma. Your charts go back for seven years.
storm, Seven... years?
storm,Who ... who knows I'm awake?
andy, You'll be famous!
storm, -- Andy. I don't have the strength to talk much. I'm a cop. My wife ... family ... murdered. That's how I got here. If you don't get me out ... you and I ... good chance ... both be dead.
andy,Please -- you're in no danger here.
storm,Goddamit --  can't stay here. Listen to me -
andy,I'll have one of the aides take you down the hall for hydrotherapy. It'll help you relax.
storm,No --
andy,"Listen... I've got work to do. You're my cutest patient, but you're not my only one."
russ,"Excuse me, Doctor. I have to check everyone on the upper floors.  Can I just get your I.D. --"
danny's pov, He sees Russ's partial body in the doorway up the hall recognizable because of its security uniform trousers. 
danny," reacts as if fearing Russ has had a heart attack. He leaves Storm, rushes forward to investigate. Storm strains to see."
danny," Russ!   Russ, are you --"
