Speaker,Dialogue
arthur,You saved me from the arrow...
merlin, But not from your destiny.
arthur,I want to thank you.
merlin,That's not why you came.
arthur,"Merlin, help me. I need your help. I don't know how--"
merlin," 'Help me, Help me.' Help me get up."
merlin,"I'm tired. Doing magic takes its toll, you know. My arms ache terribly...  Once--or is it yet to happen--I stood exposed to the Dragon's breath so that a man could lie one night with a woman. It took me ten moons to recover. I'm sure that story would interest you, since... Well, we'll have to talk about it another time. You're too busy now."
merlin,It is whispered in the forest that...  ...Leondegrance's castle is under siege by Lot and Uryens.
arthur," Yes, yes, I know that. Everybody does. Lord Leondegrance is my only ally among the barons and the great knights. I can't lose him."
merlin,Well there. You don't need me half as much as you think you do. You already know what must not happen.
arthur," I must find the means to save him, then. I was hoping I could ask you for a little magic help, but if it makes you so tired..."
merlin,Thank you.
arthur,"It's just that I have no experience, and no men to speak of. How can I--"
merlin, Because you must! You and only you. Have you forgotten that it was you who freed Excalibur?
merlin,"Besides, it will be a good lesson.  The best, if it's not the last."
merlin,Maybe you'd like to meet the power that gave you the sword?
arthur,How? Where?
merlin,In the great book.
arthur,What book is that?
merlin," The book without pages. Open before you, all around us. You can see it in bits and pieces, for if mortal men were to see it whole and all complete in a single glance, why, it would burn him to cinders."
arthur,What?!
merlin,The dragon! There...
merlin,"Coiled in the unfathomed depths, it emerges..."
merlin,...It unfolds itself in the storm clouds...
merlin,...it washes its mane sparkling white in the blackness of seething whirlpools...
merlin,...its claws are the forks of lightning... its scales glisten in the bark of trees...
merlin,...its voice is heard in the hurricane...
merlin,...it is so much more than a scaly monster. It is Everything!
arthur,"And if I am to be King of everything, lord and commoner, beast, leaf and rock, I must use its voice, its claws, its power."
guenevere,"Father, it's the boy King."
leondegrance,It is. I will fight my way to his side.
uryens,"War-wise fighters, grown gray in battle, checkmated by a boy."
lot,"It's Merlin's trickery, nothing more. I won't swear faith to that wizard's brat."
arthur,Let's finish this with a show of force. We have no more tricks and no more advantages.
guenevere,No...
sir ector,No... Arthur--
arthur,"You are in my hands, to slay or spare. I need battle lords such as you. Swear faith to me and you shall have mercy."
uryens,Noble knights swear faith to a mere squire?
arthur,"You are right. I'm not yet a knight.  You, Uryens, will knight me."
arthur,Then as knight to knight I can offer you mercy.
merlin," What's this, what's this?!"
merlin,I never saw this...
uryens,"In the name of God, of Saint Michael and Saint George, I give you the right to bear arms, the power to mete justice."
arthur,That duty I will solemnly obey as knight and King.
uryens,"Rise, my King. I am your humble knight, and I swear allegiance to the courage in your veins, for so strong it is, it's source must be Uther. I doubt you no more."
arthur,Owww...
guenevere,"It didn't hurt too much, did it?"
arthur,Ye...
guenevere,--I'm pretty good at stitchery. I've sewn my father's wounds more than once.
guenevere,Careful! You'll have to stay still for a few days or you'll tear them open.
arthur,"But I have to leave tomorrow. The forests are thick with rebels, invaders plunder our shores..."
guenevere,--And damsels in besieged castles are waiting to be rescued?
arthur,I didn't know Leondegrance had a daughter.
guenevere,"Well, then, I shall tell you which knights have maiden daughters, so you can avoid their castles."
guenevere,"No, I think it's better if you just stay here to heal. At least a week."
arthur,I'm going.
guenevere,"Quiet, or I'll sew up your mouth too."
guenevere,"Would you rescue me from a fiery dragon, sir?"
guenevere,It's just a furry little rabbit that took the bait and sprung the trap.
guenevere,"You'll find him served up to you tonight, cooked in a most excellent sauce..."
merlin,"A king must marry, after all."
arthur,...of course...
arthur,"I love her. If she would be my queen, my dreams would be answered."
merlin," There are maidens as fair, and fairer than Guenevere. If I put my mind to it, I could see them now, many of them, weeping for love of you, watching the hills for you coming from the high towers of their castles. Offering you their every favor. Rich, clever--but if it is to be Guenevere, so be it."
arthur,"Who will it be? Put your mind to it, then."
merlin,Guenevere. And a beloved friend who will betray you.
arthur, Guenevere...
merlin,You're not listening. Your heart is not. Love is deaf as well as blind.
guenevere,"They are only for you, for in them I mixed things that heal, but not too quickly; and things that make limbs sleepy, preventing escape, but keep one's mind sharp."
arthur,What's in them?
guenevere,"It is an ancient mixture, containing only soft, unborn grains, and flavored with roses. The rest is secret."
merlin,"Looking at the cake is like looking at the future. Until you have savored its bitterness and its sweetness, its texture and its perfume, what do you really know? And then, of course, it will he too late."
merlin,Too late...
sir ector,He is the mightiest and fairest of knights.
arthur,"We fought and won battles, and now one man defeats all my knights? I will go."
sir kay,A king must not engage in single contest. I'll go again.
arthur,Where is Merlin?
arthur, I should have left you to fend for yourself.
merlin,"I had to weave a little enchantment on the bees so I could get some honey, and I didn't feel up to using any more magic just yet. Anyway, I was in less danger than you'll be in today."
arthur,So you were stealing their honey. They should have killed you.
merlin,Come now. So much anger for such a little crime? Are you sure there is nothing else troubling you?
arthur,"You know full well there is, and I go to meet it now. Come witness my revenge."
lancelot,"Good day to you, sir."
arthur,"Move aside. This is the King's road, and the knights you joined arms against were his very own."
lancelot,I await the King himself. His knights are in need of training.
arthur,"I am King, and this is Excalibur, sword of kings from the dawn of time. Who are you, and why do you block the way?"
lancelot,"I am Sir Lancelot of the Lake, from across the sea. I am the best knight in the whole of Christiandom, and I look for the king who is worthy of my sword's service."
arthur,--That is a wild boast. You lack a knight's humility.
lancelot,"Not a boast, sir, but a curse.  Never have I met my match in joust or duel."
arthur,Move aside!
lancelot,"I will not. You must retreat or prove your kingship in the test of arms, under the eyes of God."
arthur,Then may He give me the strength to unhorse you and send you with one blow back across the sea.
lancelot,Hold! I offer you another lance.
lancelot,"You joust well, sir. Battle learnt, but tournament fancy. You should ride more forward in the saddle, though."
lancelot,Yield. I have the advantage.
arthur,I will not.
arthur,"Fight me from your horse or on foot, but fight me. Your avoidance mocks me."
lancelot,"I sought only not to harm you, sir."
lancelot,"Sir, your rage has unbalanced you. It seems you would fight to the death against a knight who is not your enemy, for a length of road you can ride around."
arthur,"So be it, to the death."
lancelot,"It is you, sir, who knows not the virtue of humility, as a true king must."
arthur,What horror is this?  Merlin!
merlin,The sword is broken. Hope is broken...
arthur,"My pride broke it, my rage broke it... Humiliation and defeat lie in ambush even for a king.  This excellent knight who fought with fairness and grace was meant to win. With Excalibur, I tried to change that verdict."
arthur,"I have lost for all time the ancient sword of my fathers whose power was meant to unite all men, to serve the vanity of a single man."
arthur,I am nothing.
arthur,Excalibur! Is it true?
merlin,"The Lady of the Lake. Take it. Take it, quickly!"
merlin,"There are infinite worlds within the infinite coils of the Dragon. In one of them, which I have not traveled, the sword was forged. I only know that the King is returned to us through the instrument of his power. The game continues!"
arthur,"Thanks to God, you are alive."
lancelot," I, the best knight in the world, bested! This is a great day, for my search is over. I love you, my King."
arthur,"You are still the best knight in Christiandom. You gained a hundred advantages over me. It is I who must love you, for through your courage and patience you taught me a bitter lesson."
lancelot,Then make me your champion and I will always fight in your place.
arthur,But your life and lands are far from here.
lancelot,I gave up my castles and my lands!
lancelot,"My domain is here, inside this metal skin. And I would pledge to you all that I still own: muscle, bone, blood and the heart that pumps it."
