Speaker,Dialogue
keaton,I'm not kidding. Shut your mouth.
keaton,"No, you're missing the point. Shut up. I don't want to hear anything you have to say. I don't want to know about your ""job"". Just don't let me hear you. I want nothing to do with any of you -  I beg your pardon but all of you can go to hell."
yellow 06/11/94,21. A UNIFORM COP trots up to him. COP Who are you?
baer,"Agent Jack Baer, F.B.I. How many dead?"
cop,Fifteen so far. We're still pulling some bodies out of the water.
cop,Looking for anyone in particular?
baer,"f don't want any of the bodies taken away until I've had a chance to go over this, understood?"
cop,I have to clear the scene. I've got word direct from the Chief
baer," Yes, the chief. Spooky stuff. Any survivors?"
cop,"Two. There's a guy in county hospital, but he's in a coma. The D.A. has the other guy - A cripple - from New York I think. Listen, the Chief said -"
baer,Excuse me.
22.," 20 MT. OCEAN 20  A half mile out from the pier.  The sea is choppy, stirred by the wind. An object floats into view a few feet away, bobbing in the water.  It is A DEAD BODY - a man, face down, wearing a CHECKERED BATHROBE. He drifts quietly toward the open ocean.  21    INT. HEARING ROOM - DAY - LOS ANGELES PRESENT                      2:  Verbal Kint sits in a chair in front of a microphone attached to a tape recorder, his brow beaded with sweat.  On the wall behind him is the seal of the STATE OF CALIFORNIA  He is cleaner, better kept, in a well-cut suit and neatly trimmed hair. He looks older than he did in New York - worn down.  A flurry of voices banter off screen. Verbal's eyes follow the voices back and forth.  VOICE #1  The district attorney's office will comply provided -  VOICE #1 No provisions, nothing. My clients testimony for his immunity.  VOICE #2 May-I be frank, Counselor? I suspect your political power as much as I respect it. I don't know why Mr. Kint has so many faceless allies in City Hall, and I don't care. The embarrassment he helped cause the city of New York will not happen here.  VOICE #1 Immunity.  YELLOW 06/11/94"
22a.," VOICE #2 Counselor, I will prosecute your client.  VOICE #1 Then prosecute. I will be very impressed to see if the District Attorney manages to bring in twenty-seven simultaneous counts of murder against one man with cerebral palsy. I would think a man with your job would agree with these alleged ""faceless people in City Hall"" you mention.  VOICE #2 1 One would think the counsel is veiling a threat.  VOICE #1                                     + Counsel isn't veiling anything.  VOICE #2 I'11 take my chances then. I'11 feel safer without a job if a man like Mr. Kint is behind bars.  VOICE #1 Mr. Kint will plead guilty to weapons possession.  VOICE #2 You're joking.  VOICE #1 Weapons. Misdemeanor one.  VOICE #2 Counselor, you're insulting me.  VOICE #1 Counselor, you're bluffing. Shall I push for misdemeanor two?  Voices mumble off screen. Verbal fidgets in his chair.  VOICE #2                                     + Misdemeanor one. Fine. This is ludicrous.  A tiny smile and a genuine look of disbelief flash across Verbal's face.  YELLOW 6/11/94"
kujan,What do you mean I can't see him?
rab in,"The D.A. came down here last night ready to arraign before they even moved him to county. Kint's lawyer comes in and five minutes later, the D.A. comes out looking like he'd been bitch-slapped by the boogey man. They took his statement and cut him a deal."
kujan,Did they charge him with anything?
rab in,Weapons. Misdemeanor two.
kujan,What'the fuck is that?
rabin,"I give the D.A. credit for getting that much to stick. This whole thing has turned political. The Mayor was here - the chief - the Governor called this morning, for Christ's sake. This guy is"
220.,RABIN  protected - From up on high by the prince of fucking darkness.
kujan,When does he post bail?
rab in,"Two hours, tops."
kujan,I want to see him.
pink 06/07/94,"23-24. 23 INT. RABIN'S OFFICE                                                  23 RABIN                                 + Dave, please."
kujan,"This won't be an' interrogation, just a... friendly chat to kill time."
rab in, He won't go into the interrogation room.
kujan,"Someplace else, then."
rab in,Where?
kujan,"If it was a dope deal, where's the dope, if it was a hit, who called it in?"
rabin,And I am sure you have a host of wild                   + theories to answer these questions.
kujan,You know damn well what I think.
rabin,"That's crazy, Dave and it doesn't matter. He has total immunity and his story checks out. He doesn't know what you want to know."
kujan,"I don't think he does. Not exactly, but there's a lot more to his story. I want to know why twenty-seven men died on that pier for what looks to be ninety-one million dollars worth of dope that wasn't there. Above all, I want to be sure that Dean Keaton is dead."
rab zn,He's dead.
kujan,Two hours. Just until he makes bail.
