Speaker,Dialogue
alex,"I've never dealt with death before. I wasn't alive when my grandparents died. I wish I could know. I mean, all this... could just be in our heads. Now it feels like it's everywhere."
clear,"""It?"""
alex,What if Tod... is just the first... of us?  The idea sends a shot of apprehension through Clear.
clear,"Is that something you're ""feeling?"""
alex,"I don't know. I wish I could just see him... one more time, then, maybe... I would know."
clear,"Then, let's go see him!"
clear, Gives me a rush...
alex,This place?!
clear,Doin' somethin' I'm not supposed to.
clear,"Good call. Very ""Quincy."""
alex,That... him?
clear,I think. But why'd they make him up like... Michael Jackson?
alex,"That's him, but... he's not here. That... whatever... that whatever made him Tod is gone."
alex,Why..?
alex,"I'm... a friend of his. His best friend. See, his father..."
clear,"They said he hung himself, but there's no marks."
alex,What are all those tiny marks?
alex,Why would he pull at the wire if he were committing suicide?
clear,Why would they say it was a suicide... if it weren't?
alex,His father's pretty fucked up with denial. Maybe he couldn't deal with the thought of an other accident... taking another son.
alex,You saying Tod did kill himself?
alex,Design?
alex,"Maybe there's no way to win... but... if you figured out the game... you knew where the ""steel ball was rolling"" couldn't you avoid the trap and extend the playing time? Couldn't you... cheat Death at Its own game?"
alex,I'm sorry we broke in.
clear,We didn't find what we were looking for.
alex,"Yeah, we did."
alex,He said Death has a design. Even before he said that I had been seeing patterns.
clear, As in flannels and plaids?
alex,How many died on Flight 180? From our group?
clear,Thirty-nine.
alex,Remember the gate number?
clear,No.
alex,Thirty-nine.
alex,Remember the departure time?
alex,Right. April 25th.
clear,"Wait. I thought you meant the time of your birth. Four/Twenty-five, as in, month and day... that's a reach."
alex,My birthday is the same as of the time I was meant to die! That's a reach!?
clear,"You're sounding like those people who, you know... ""Oswald shot Kennedy from a warehouse and hid in a theatre and Booth shot Lincoln in a theatre and hid in a warehouse."""
alex,"I'm not just layin' down a bunch of math here, with this. I'm talking about indications... omens... that day, that we were meant to die. That, if, we have been aware of... would have saved everyone on the plane."
clear,That's total bullshit. You can find death omens anywhere you want to.
clear,She's leaving the school. Moving away.
alex,"Clear, how do we know that by just sitting here, breathing this air or sipping the coffee, having crossed the street... we haven't started in motion the events that will lead to our death? Fifty years from now. Ten years. Tomorrow.  You don't unless... you're able to open yourself to the signs I'm willing to show you."
clear,"I don't understand... did you see Tod die? Did it happen again, like         on the plane?"
alex,"No, but it might as well be the same thing. This was a message... from someone, or something... hinting... at the design."
clear,"Alex, on the plane... you must have experienced... some kind of hyper awareness. But here... you're suggesting Tod's death... and maybe our own... will happen because of... an active Presence."
alex,"The mortician said Death has a design. Now... if you, me, Tod, Carter, Terry, Billy, Ms. Lewton messed up that design, because, for whatever reason, I was able to see Death's plan... then we cheated it.  But what if it was our time, what if we were not meant to get off that plane? What if it is still is our time? If... It... is still not finished with us? We will all still die; now, not later."
clear,"After hearing you, just now... I do believe..."
alex,Then there's no one left who can help me.
terry,"Baby, come on... not now."
terry,Carter...
carter,"Kind of have a reunion, here."
terry,Let it go!
carter,When are you moving?
carter,We're losing our favorite teacher.
alex,"Look, there's something you should all know."
clear,Alex...
terry,Shut up! The both of you!
ken,It's that girl... Clear.
ken,"He's in the shower, Clear. Can I have him get back at ya? Sure... bye."
alex,"Dad... you and mom have helped me out, so much. But there's... some things I need to understand before I can talk... to anyone about it."
alex,The path of the explosion...  That's Death's design.
schreck,What are you doing?
alex,Checking the air in her tires to make sure they're safe.
schreck,Get in the car.
alex,I believe that... Ms. Lewton's next.
weine,"""Next?"""
alex,"Yes... see, there's this... pattern... that's occuring."
weine," Oh, you've noticed it, too?"
schreck,"Where'd you get this ""pattern"" from? You have another ""vision?"" Maybe saw it in some T.V. static?"
alex,I didn't ask for what happened to me on the plane. You can make fun of me. You can think I'm a nut. I'm used to it. I saved six lives but the entire school acts like I'm a freak. Fine.
alex,I'm not suffering from Post Traumatic Stress. I haven't developed a narcissistic deity complex. I'm not going Dahmer.  This just is. There's a pattern in place for you. And you. There's a design for everyone.
alex, And I'm not sure yet how... but I intend to break this one.
weine,"Alex, you got our attention, at first, because you were under suspicion in the plane explosion."
alex,"No... I can't. As long as I'm in here, it's outta my control."
weine,"Alright, go on. Get outta here."
schreck,Kid gives me the creeps.
weine,We got nothing to hold him.
schreck,"I don't mean that...  There's a couple of times, there... I almost believed him."
weine,"Sometimes, you give me the creeps."
john denver,I've seen it rainin' fire from the sky...
alex,Ms. Lewton!
billy,"Hey, Alex..."
clear,I don't know where he is. He's not talking to me.
weine,Why?
clear,Because I didn't believe him.
schreck,"If he should contact you, it would be in the best interest of your own safety to contact us."
clear,What are you doing?
carter,Terry's name should be on this wall.
clear,"They're watching me, see if I go to Alex."
billy,Are you?
clear,They'll follow my car.  That's why you're taking me.
carter,Why would I want to see him?
clear,Because he knows which one of us is next.
billy,"Um... okay... drive the speed limit, right?"
carter,Billy! I'm gettin' a vision! You're the next one...
billy," Hey, man, why'd you say that?!"
carter,"'Cause if you say another word, I'm gonna fuckn' kill ya!"
clear,"He could be anywhere from here to a mile down the shore. You guys drive down there, start this way and we'll meet around the middle. It'll take half the time."
alex,"Most kids do, I guess."
clear,Most kids never have it happen.
clear,"When I was ten... my dad went into a 7-11 for cigerettes. I guess he heard somebody say ""Don't turn around."" So on reflex, or thinkin' a friend was jokin'... he did. And the guy blew his head off."
clear,And that is the only way we can beat Death... by making something special out of Life.
alex,This won't be safe.
clear,Those guys are probably fifteen minutes away.
alex,"No.. I mean, I don't have anything on me. This won't be safe."
clear, Nothing is... anymore.
alex,"I can't go home. After Lewton's, they'll be after me."
clear,"We're takin' you to a cabin in the woods, it's only a couple miles from my house.  Keep off the highways, they'll be lookin' for us."
carter,"Alright, Browning, you fuckin' warlock... did you know about Ms. Lewton, or what?"
alex,Why do you think I was hiding?
clear,Billy told the F.B.I. he saw you runnin' away from her house.
alex,"They blame me for everything. Her, Tod, the plane crash..."
billy,Your shoe prints were in the blood. Your fingerprints on the knives...
alex,I already told you...
carter, Did you know she was going to be next... before she was?
alex," When she died... at that moment, I could tell she saw something... horrible."
carter,Out of us... who's next to see it?
billy,Please tell me I'm gonna get to see the Jets win the Super Bowl.
carter,"Me, right? That's why you're not saying."
billy,"Shoulda felt up Tammy in the pool, that time..."
carter, Whatta you whinin' about? He said I'm next.
clear,He didn't say nothin'. Just drive.
carter,You have a responsibility to tell me.
