Speaker,Dialogue
will,After that she left the party to go to him.
randy,How should I know?...
will,Ran like hell to go to him...
randy,"Fuck you, man! - I'm sick of all your fucking cop questions..."
will,"Now you listen to me, you little shit. This fuck-the-world-Metallica-t-shirt crap may work with your mamma, but it doesn't work with me.  You got mad at your girlfriend because she was seeing someone else.  You want to be the last person who saw her alive or are you going to tell me who that is?"
randy,I don't know.
will,You don't know.
randy,She didn't tell me.
ellie,"He's a little surly, isn't he?"
will,Just a little.
will,"I want you to check this out, Ellie."
ellie,We already did.
will,Do it again.
ellie,But there wasn't any...
will,The small things - remember?  The second you're about to dismiss something - look at it again.
ellie,You want me to write that down?
will,Who's that?
ellie,The bartender at Darrow's.  He was there Friday night.
will,Good.  He's up next.
will, Halibut Calabrese.  Halibut Olympia. Halibut Cajun Style.  Halibut fish and chips...
hap,At least there's variety.
will,Looks like the natives are restless.
hap,Will?
hap,"I wish I could stick it out like you.  I just, with Trish and the kids..."
will,"Don't do this, Hap..."
hap,I'm thinking I could get off with probation.  Keep half my pension.  That's all I want.
will," Goddammit, Hap.  Think about what you're doing..."
hap,"You don't have to be involved, Will."
will,You tell Buck and I'm involved whether I like it or not...
hap,Hey - you do everything around here?
rachel,Just about.
will,I'll just have another Scotch in my room.  If you don't mind.
will,Where is it?
ellie,Over here.
will,We're sure it's hers?
fred,Has her books in it.
hap,What about prints?
will,Biology and Algebra.
farrell,I read that kind of crap.
will,Read them.  Tell me anything that strikes you.
fred,I'll stick it in the evidence locker...
will,No.
farrell,"Uh, right.  About two miles outside of town."
ellie,On the beach.
fred,Why are we taking it back?
will,"This murder was in the papers, right?"
ellie,Yeah.  All over.
will,"Call all of them from here to Anchorage. Tell them we now know that Kay Connell left the party with a dark blue knapsack, but we haven't recovered it yet.  We can get it in by the morning editions."
farrell,Glock 40.  All plastic save the barrel and firing pin.  Never rusts.  What do you carry down in Seattle?
farrell,Excellent!
fred,What are you doing here?
will, I told her to come.
ellie,Anything yet?
farrell,Maybe this guy doesn't read the papers.
hap,Or goes straight to the Sports Section.
fred, I see someone!
ellie,But...
fred,He's bolting!
will,Go!  Go!  Go!
will,Police!
farrell,Sorry about...
will,Where is he?
farrell,Over there.
will,Freeze!
will,Hap!
fred,Dormer...
chief nyback,And then you lost him.
will,And then I lost him.  In the fog.
chief nyback,About how long 'til you heard the suspect's second shot?
will,"Twenty, thirty seconds.  I followed the sound down to the water.  That's where..."
chief nyback,I think you need a glass of this.
will," Why didn't I know about that goddamn tunnel, Charlie?"
chief nyback,"There's a bunch of those tunnels out there, Will.  From bunkers over sixty years old.  I don't even know half of them myself, and I grew up here."
will,"I had him, Charlie.  Right in front of me.  Not two feet.  I could smell the son- of-a-bitch.  Playing with me.  And I missed the shot.  He was right there and I missed the shot!  Then my goddamned gun jammed..."
chief nyback,"Will, you can't blame yourself."
will,I had him!
chief nyback,It's only gonna make you crazy.
ellie,You wanted to see me?
chief nyback,"Right, Ellie."
ellie,But what about the Connell case?  I'm on the Connell case.
chief nyback,"We need paperwork, Ellie.  You know that. Just write up a quick report."
will,I'm going to check on the roadblocks...
chief nyback,"You're no good right now, Will.  Go back to the Lodge.  Try to get some rest."
radio,...earlier this evening after an aborted attempt to apprehend a suspect.  He was forty-five...
rachel,I'm sorry about your partner.
will,You were nice to him.  He liked you.
rachel, Hold on a second.  He's right here.
will, Dormer.
warfield's voice,"Detective Dormer.  I've been trying to reach you.  I was very sorry to hear about your partner, Detective Eckhart. It must have been a terrible shock, what happened this morning."
will, That's not exactly how I'd put it.
will," What do you mean, ""Funny?"""
warfield's voice,"Oh, nothing.  Just that I felt Detective Eckhart and I, Hap and I, were starting to make a real connection before you left.  I sensed that he was ready to get some things off his chest.  Did you sense anything like that, Detective?  I mean, as his partner?..."
will," You know why everyone hates you, Warfield?  It's not your questions, it's not your press conferences, it's not even your cheap suits; everyone hates you 'cause day after day you suck the marrow out of real cops when you never had the balls to become one yourself.  Well I got to tell you, it's a shame you're not up here with me because I'd love to show you right now just what a real cop is capable of.  You just remember that when you're sitting at your bullshit desk reading your bullshit report on my dead partner!"
will,Goddammit!
hap,"They're watching us, Will..."
will,Hap!
chief nyback,"...Nightmute hasn't lost an officer in thirty-seven years, and even though Detective Eckhart wasn't from here, he was as good as one of us on this case.  I had the honor of working with him down in Seattle for a number of years.  He was a fine detective and an even better man."
chief nyback,Okay.  Then let's get to it.
will,"It's good to be accurate, Ellie.  You're doing your job."
ellie,I'm so sorry about what happened.  I know you did everything you could...
will,I was here.
fred,Dormer.  Still no sign of the bullet that went through Farrell.
will,I'm going to the hospital to talk to him now.  You get the search party together.  No fewer than thirty people.  I'll meet you in exactly twenty-five minutes.  Don't waste any time.
fred,Partner or no partner.  That guy's a prick.
ellie,"He has to be a prick, Fred.  He's a great detective."
farrell,Detective Dormer!
will,I'm not.
farrell,"Oh, a real tear-jerker.  Brody, the good guy, just got shot."
will,Thanks.
farrell,I wish I'd had the chance to get to know him better.  Take him fishing or something.
will,He would have liked that.
farrell,"We just gotta catch the bastard, right?"
will,"That's why I'm here.  I need to know exactly what you saw yesterday, Farrell."
farrell,What I saw?
will,Anything.  It's important.
farrell,Pretty much nothing.  That fog was so thick.  The bullet seemed to come out of nowhere.  I don't even remember seeing any shapes.  Then I saw you.  But only when you came up close.  Then you disappeared again.  I guess I heard more than I saw.
will,No.  No.  Don't be sorry.  It's not your fault.
nurse,Time for your meds.
farrell,Lonnie and I went to high school together.
lonnie,"Just take the pills, Farrell."
will,How's the leg?
farrell,"Oh, you know.  Don't feel that much. Bullet went right through."
will,Right.  Got lost in the rocks.
farrell,"We'll get the other one, though."
francis,What?
ellie,You're supposed to be Farrell.  Shot in the thigh and writhing in pain.
francis,"C'mon, Ellie.  What's it matter?"
ellie,Accuracy.  That's what.  Now get down.
francis,Ow.
ellie," ...shortly after hearing the second shot, Detective Dormer continued through the water until he spotted the body, lying approximately fifteen feet away."
francis,Ellie!  Think I found something!
will,"The woods.  One group heading south, the other heading north."
will,Alright.  Go back and set up some follow- ups for this afternoon.
fred,You don't think they should start further back?
will,"He had to have exited here.  Over those boulders.  I saw him move, he's nimble. Would have taken the hardest way out."
fred, Duggar...
rachel,Here.  It's on the house.
will,Thanks.
rachel,I got it.  Don't know why I bother.  It's been broken for two years.
will,Habit.
will,Fred Duggar?
rachel,No.  He didn't say what his name was. Only that you were expecting him.
will,I'm not expecting anyone.
rachel,That's not what he thinks.
will,What did he look like?
rachel,Short.  Dark hair.  Not that memorable.
will,I need to borrow something.
will,I could say the same thing about you.
ellie,Oh.  We always have play-offs in the middle of the night.  It's the best time.
will,Who's playing?
ellie,The Puffins and the Hawks.  We're in extra innings.  The Hawks have a really good line-up this year.
ellie,That's my sister.
will,She your only sibling?
ellie, Twelve years younger.
will,No.  Well.  I had a brother.  He died when I was eleven.
ellie,"Oh, I shouldn't have..."
will,It's okay.  Happened a long time ago.  He was killed in a fire.  In New Mexico.
ellie,That must have been awful for you.
will,"Not really.  Nice kid, huh?  Just kept making up more and more lies..."
ellie,You okay?
will,"I'm going back to the Lodge, Ellie. Still need to go through some of Kay Connell's school records."
ellie, Okay.
will, Officer!...
will, Duggar - I'm at the coroner's now.  I'll be back in about twenty minutes...
coroner,Detective.  Thought you were sending one of your lackeys.
will,I thought it was better if I came.  Under the circumstances.
