Speaker,Dialogue
luca,[Maybe this is where the Colonel and the troops from the north are going to meet?]
caesar,Is it far?     Can you take us?
bad ape, Human zoo?! No... No go back there. Everyone dead. I come here. Safe here. Never go back!
caesar,Please.     You must take us.
bad ape,No!     Can not take!   Can not take!
caesar, I don't know.
bad ape, But she... with you?
caesar,She has no one else.
bad ape,I see you look at her. Just now.  Look sad.
caesar,I had two.     But one was killed.   By human.
bad ape, Oh... Soldier?
caesar,I don't know... Maybe.
bad ape,Then... maybe I take you.
maurice,[Thirsty.]  [Thirsty.]
bad ape,There...
caesar,"[Luca, let's take a closer look.]  [Stay here. Keep them safe.]"
luca,[What are they doing?]
caesar, I don't know...
luca, [What's that? A patrol?]
rocket,[I saw them from up there... Coming for you...]
luca,[At least this time... I was able to protect you...]
maurice,[I know how much you have lost... But now we have lost another.]
rocket,[Luca gave his life!   We can not turn back -- !]
maurice,[Caesar...]
caesar,They must pay...
maurice,[Now you sound like Koba.]
caesar,...Koba? You know nothing.   My wife and son were killed.  You call me Koba...?!
caesar,What happened?
spear,"[They came out of nowhere, attacked us... We were sure they would kill us all -- but the Colonel stopped them!]"
caesar,Use you...?
spear,[They've been forcing us to work!]
caesar,What... kind of work...?
caesar, I came for you.
the colonel,I see... I kill somebody close to you that night...?
caesar,My... family.
the colonel,I'm sorry.     I was there to kill you.
caesar,I was told you were coming... That others would be joining you here.
the colonel, Joining me...?
caesar,To finish us off... for good.
the colonel, Who told you that?
red,"Ok -- ok, Kerna...!"
tower guard,"Evening, Colonel!"
the colonel, Any more trouble tonight?
tower guard," No, sir -- not anymore --"
the colonel,"You could use a haircut there, son.  You too, soldier."
lake,[Forgive them. We've been through much.]
caesar,I will find some way to get us out of here. I promise...
lake, [You don't know what this place is like.]
cornelius,[Father...!]
soldiers,MAKES THE GRASS GROW!!
executive officer,We...!
soldiers,MAKE THE BLOOD FLOW!!
executive officer,We are the beginning...!
soldiers,AND THE END!!
lake,[We haven't had food or water since we got here...]
caesar,[Why do they need a wall...?]
caesar,LEAVE HIM!!!
the colonel,...Ok.   Back to work.
caesar,Apes need food. Water.
the colonel,Please.    Tell them to work.
caesar, Give them food and wat--
the colonel, Tell them.
bad ape, Bad place...
rocket,[Must save them! But how?]
maurice,[Must think! What would Caesar do?]
bad ape,Oh no!
preacher,Alright -- that's good.
caesar,What did the Colonel promise you? You really think he will let you live... after we are gone?
red,Koba right. You think you know better... than rest of apes. But look you now.  You nothing.
the colonel,"Interfere with the work again, and I'll begin slaughtering the apes, one by one. Understand? I need that wall."
caesar,Apes... need food... water.
the colonel, They'll get food and water when they finish the work.
caesar,Give them food and water... or they will not be able to finish.
the colonel,You know you're very emotional.  What makes you think you're in a position to make demands?
preacher,C'mon --
caesar,"The soldiers who are coming here... are not coming to join you, are they?"
the colonel,"I was told you were smart, but... that's impressive."
caesar,They are against you?
the colonel,They... fear me.
caesar,Why...?
the colonel,Jesus Christ... you are impressive. 
caesar,I think... you have no mercy.
the colonel,You came here to kill me.   Were you going to show me mercy?
caesar,I showed you mercy... when I spared your men. I offered you peace. And you killed my family.
the colonel, Mercy. Do you have any idea what your mercy would do to us?
caesar, You killed them too...?
the colonel,"What did I do, Preacher?"
preacher," You severed their heads, sir."
the colonel,"Except for the one I spared, so he could return to deliver a message: if they wanted to relieve me of my command, they'd have to meet me here, and do it themselves."
caesar,How many... will be coming?
the colonel,Probably all of them. Don't get any ideas -- only thing they fear more than me is you apes. They never questioned my methods when it came to you.
preacher,HEY -- HEY-HEY-HEY!!!
the colonel,So emotional!
preacher,...sir --
the colonel,What do you think my men would've done to your apes... if you had killed me?
preacher,"Didn't I tell you not to agitate him? That was not smart, man..."
caesar,"If this battle is coming... you should leave, while you still can."
preacher,Leave?     What are you talking about?
caesar,You are not like him.
preacher,"He was right, you do think he's sick, don't you? You're just like them. He's not crazy. The world's gone crazy. And he's the only one with the vision to get us through this. The Colonel's a great man. He sacrificed everything for us. You can't judge him. Who are you to judge him?  I was trying to give you a heads up, keep you out of his way, I don't even know why. But if you think you and I have some kind of relationship -- that you're gonna give me, what, advice? You can disavow yourself of that notion right fucking now."
maurice, [How is he?]
lake,[You look weary.]
caesar,"[Do not lose hope... Some way, somehow, we will finish the journey to our new home. I will find a way to get us out of here.]"
preacher,Get off!
maurice,[How will we get in?   Humans everywhere.]
rocket, [Must get in somehow...]
bad ape,"""In""...?   ""In""?"
lake,[You saved our lives...]
maurice, [Sick humans must have tried to escape underground!]
bad ape,No no no -- no climb -- !
rocket,[Must be under the camp by now!]
maurice,[Wonder how close we are... to where soldiers keep apes?]
bad ape, No!
caesar,Koba...
koba, Sleep...
caesar,No...
the colonel,"If he's still alive in the morning, he goes back to work or you shoot him.  Keep him separate from the others."
bad ape,IN!     She go IN!
the girl,[Thirsty...?]
ape,[Apes together strong.]
maurice,"[If humans see her, they will kill her...]"
the colonel,How many are out there?   Are there others?
rocket,[Feeling better?]
the colonel,"For two years we've fought relentlessly against these beasts, and when we are done with them, we will bring an end to their kind. But now we find ourselves on the eve of battle... against our own kind. So you may ask: who is the real enemy, who are we fighting here? And I'll tell you. It's not the apes. It's not the men who are on their way here right now to altercate with us. The battle we've been waging all this time is against ourselves."
the colonel,Send him up to the quarry.    Alone.
preacher,"I really don't know, sir..."
the colonel,Get him to work.
tanker guard,"That's high enough, kong!"
caesar,[37 steps to the adult cage...   55 to the children.]
red,You know Kerna shoot apes tomorrow... when wall is done.
caesar,His wall is madness. It won't save him... any more than it will save you.
red,I save myself.
caesar,Is there anything left... of you to save?
maurice,[You are very brave.]
the girl,[...Brave?]
maurice,[You are...]
bad ape,Come!   Come see!
rocket,[This is the ape I told you about.]
bad ape,...Bad Ape.  Bad Ape... Bad Ape...
rocket,[What's wrong?]
rocket,[There's a problem.]
rocket,"[We can't dig any further, it will flood the whole tunnel!]"
lake,"[If we don't dig further, we'll never get to the children! How are we going to get them out?]"
caesar,[We must leave tonight!]
rocket,[How...?]
boyle,Hey -- you animals!
boyle,Who did that?!
the colonel,Least you can take comfort... Your struggle ends... Ours goes on... Nature still has the power to wipe us off this planet at any moment... Killed the dinosaurs with a single meteor.
caesar,...Malcolm?
