Speaker,Dialogue
lestat,You'll get used to killing. Just forget about that mortal coil. You'll become accustomed to things all too quickly.
louis,Do you think so?
yvette,"You are not hungry, sir..."
lestat,"Au contraire, my dear. He could eat a horse..."
louis,"I will finish it, Yvette. Now leave us."
lestat,"Can't you pretend, you fool? Don't give the game away. We're lucky to have such a home."
lestat,"Pretend to drink, at least."
lestat,Such fine crystal shouldn't go to waste...
lestat,I know. It gets cold so fast.
louis,We can live like this? Off the blood of animals?
lestat,I wouldn't call it living. I'd call it surviving. A useful trick if you're caught for a month on a ship at sea.
lestat,There's nothing in the world now that doesn't hold some...
louis,Fascination...
lestat,Yes. And I'm bored with this prattle -
louis,But we can live without taking human life. It's possible.
lestat,Anything is possible. But just try it for a week. Come into New Orleans and let me show you some real sport!
teresa,"Come on, mon cher. The best in the colony. Once you touch this you'll never go to any other tavern again."
lestat,"You think so, cherie? But what if I'd rather taste your lips?"
teresa,My lips are even sweeter still...
lestat,Let's get out of here!
louis,Have you ever been caught?
lestat,Of course not. It's so easy you almost feel sorry for them.
lestat,The trick is not to think about it. See that one? The widow St. Clair? she had that gorgeous young fop murder her husband. She's perfect for you. Go ahead.
louis,But how do you know?
lestat,Read her thoughts.
louis,I can't.
lestat,The dark gift is different for each of us. But one thing is true of everyone. We grow stronger as we go along.
lestat,Take my word for it. She blamed a slave for his murder. And do you know what they did to him?
lestat,The evildoers are easier. And they taste better...
lestat,You whining coward of a vampire who prowls the night killing rats and poodles. You could have finished us both!
louis,What have you done to me? You've condemned me to hell.
lestat,I don't know any hell -
louis,You want to see me kill? Watch me kill you then -
lestat,"What strength, my friend, what strength. I remember why I chose you now."
lestat,"But you can't kill me, Louis. Nor I you."
lestat,"Feed on what you want, mon cherie. Rats, chickens, doves, goats. I'll leave you to it and watch you come round. Just remember, life without me would be even more unbearable..."
wife,Yes... please...
lestat,Consider yourself lucky. In Paris a vampire has to be clever for many reasons. Here all one needs is a pair of fangs.
louis,Paris? You came from Paris?
lestat,As did the one who made me.
louis,Tell me about him. You must have learnt something from him! It had to happen for you as it did for me!
lestat,"I learnt absolutely nothing. I wasn't give a choice, remember?"
louis,"But you must know something about the meaning of it all, you must know where we come from, why we..."
lestat,Why? Why should I know these things? Do you know them?
lestat," That noise! It's driving me mad! We've been in the country for weeks, with nothing but that noise!!!"
louis,They know about us. They see us dine on empty plates and drink from empty glasses.
lestat,Come the New Orleans then. There's an opera on tonight. A real french opera! We can dine in splendor!
louis,"I respect life, don't you see? For each and every human life I have respect."
lestat,Respect me a little then. I'm the only life you know.
lestat,"You'll soon run out of chickens, Louis..."
yvette,Michi Louis? You don't want any supper?
louis,"No, ma cher. I need no supper. Is all well at Pointe Du Lac tonight?"
yvette,"We worry about you master. When do you ride about the fields? How long since you've been to the slave quarters? Everywhere there is death. Animals, men. Are you our master still at all?"
louis," Leave me alone now, Yvette."
yvette,I will not go unless you listen to me. Send away this new friend of yours. The slaves are frightened of him. They are frightened of you.
louis,"I am frightened of myself, Yvette."
louis,"Hush, Yvette -"
louis,"This place is cursed. Damned, do you hear me? And your master is the devil."
louis,Get out while you can. You're free men.
louis,"Unlike me, you are no free men..."
louis,Do I have to convince you?
lestat,"You fool, what have you done?"
louis,What you wouldn't do. It's almost sunrise. It will be the sun or the fire. You said they can kill me. The sun or the fire!
louis,Where are we?
lestat,"Where do you think, my idiot friend? We're in a nice filthy cemetery. Does this make you happy? Is this fitting and proper enough?"
louis,We belong in hell.
lestat,"And what if there is no hell, or they don't want us there? Ever think of that?"
malloy,You loved Yvette...
louis,Can a vampire feel love?
malloy,"You loved your wife, surely."
louis,"I was human then. Might as well ask can an angel feel love. Both are blesses or cursed with a certain... detachment. Though whether angels take as long to learn it as I, I will never know."
