Speaker,Dialogue
richelieu,"Louis was only nine years old when his father was assassinated. He lost his childhood forever that day. I have watched him grow toward manhood, seen the toll his life demands. A boy who is not allowed to be a boy sometimes has difficulty becoming a man. He is shy, yet boastful. Giving, yet stubborn. But most of all, he is not yet sure exactly who he is. The boy who lost his father. Or the King of France. ANNE But how can I...?"
richelieu,Flatter him. Make the boy feel like a King. So that the King may be your husband.
seneschal,"His Majesty, the King."
richelieu,"Your Majesty. LOUIS Cardinal Richelieu, I've been looking for you."
louis,Oh. Anne. Hello. I didn't know you were here.
anne,Would you like me to go? Louis suddenly remembers the reason he's here.       Determin- ation breeds a more capable attitude.
louis,"No.  Please, stay.  Your Eminence, I demand an answer."
richelieu," Perhaps if I knew the question... LOUIS I've just been told that you went ahead and disbanded my Musketeers. RICHELIEU You approved the decision. LOUIS But not the timing of the matter. I intended to address them myself, explain the situation... RICHELIEU Your Majesty, France is on the brink of war. We dare not hesitate."
louis,But these men are my personal guards... RICHELIEU They are the bravest fighters in France. 
louis,"I will be the judge of what is best. For me, and for France."
richelieu,"Of course.   Forgive me. A tense beat.    Anne, feeling out of place, steps toward the door. LOUIS Anne?   Are you all right? ANNE You two should continue this discussion in private. LOUIS  Your thoughts on the matter interest me. They might... help."
anne,It seems to me that... you're doing very well on your own.
richelieu,Extremely. LOUIS Intelligent.
richelieu,Very.
richelieu,She scares me too. As do all women who join beauty to intelligence. What's a man to do?
louis," I have no idea. RICHELIEU The course of love is full of frightful turns. But, no matter how you feel, no matter how hopelessly afraid... never let her know that you are anything other than the bravest and most confident man in France. Make that your starting point, and everything else will fall... into place."
louis,The bravest man in France...
richelieu,Good advice for a shopkeeper. Let alone a King.
richelieu,I know.   But don't worry. 
milady,Count de Winter.
milady, I will kill you with my bare hands.
milady,"Well if that's the case, I'd better start packing. But first, my hair... Milady, who has been removing combs throughout, reaches for the next, and..."
armand,Father?
athos,"I asked two of my friends to act as seconds, but they are not as punctual."
athos,Don't worry. I fight just as well with my left hand. 
porthos, What're you doing? You can't fight this man.
athos,"Why not? PORTHOS Because I'm fighting him. D'ARTAGNAN Excuse me, monsieur. But not until one o'clock. ARAMIS  How long have you been in Paris? D'ARTAGNAN I arrived this morning."
athos,You've been... busy.
aramis,"Jussac.   Again. Athos steps forward to meet him. ATHOS I told you the next time we met I'd want an answer. But I didn't expect you so soon. JUSSAC The three of you are under arrest. The boy's of no interest to me and is free to go. Do you intend to resist? PORTHOS Oh, don't be stupid. Of course we intend to resist. Just give us a second."
porthos,Bold and brave.
aramis,"A poet. ATHOS Have you got a name, boy? D'ARTAGNAN D'Artagnan."
porthos," D'Artagnan? The name has meaning for all of them. The Musketeers look at each other, deadpan, shake their heads. ARAMIS Impossible."
porthos,It couldn't be.
athos,"Athos... Porthos... Aramis. D'ARTAGNAN Pleased to meet you... How do you do?... Good to see you again... Meanwhile, Jussac and his Guards look on with increasing impatience. He clears his throat, draws his saber. The Musketeers turn toward the Guards, d'Artagnan standing among them. "
porthos, Damn monks. Always spoiling everybody's fun.
porthos,"They're about to get a little nearer to the hilt of my sword. ARAMIS Pagan. PORTHOS Papist. Porthos slides over to handle one of Aramis' opponents. He'd rather bicker from close range. But Biscarat struggles to his feet, grabs his saber. Porthos sees him, sighs. PORTHOS  Excuse me? ARAMIS I'm fine, thank you."
athos,You mean he's still alive?
biscarat,Now what...?
athos,Last rites. Aramis takes death very seriously.
porthos, Do you know where this bolo comes from?
porthos,Spain.
aramis,"Don't encourage him. By killing Jussac, the boy's made himself an outlaw too."
athos,Not if he leaves Paris. Which is exactly what he's going to do.
porthos,"Go home, find a wench, live long and prosper. D'ARTAGNAN Why can't I stay with you? Aramis and Porthos look to Athos.      As always, he will decide. ATHOS Because I do not want you to. It's hard to say whether he's acting out of concern for the boy... or he simply doesn't give a damn. Whatever the case, d'Artagnan is crestfallen. The Musketeers mount their horses, Porthos and Aramis adopt a friendlier tone."
aramis,"I know Athos may seem cold and unfriendly, but don't let that fool you. PORTHOS He really is cold and unfriendly."
aramis,"But he's also right. This is our fight, not yours. Go on, get out of here."
athos,"Wake up, boy.    The Musketeers are just a dream. "
rochefort, There they go! After them!
at distance,"The three Muskeeters rein their horses, look back to d'Artagnan's bold charge. PORTHOS  Do you believe this kid."
rochefort, Fall back! I'll take him myself!
porthos,Rochefort's got the boy.
athos," Too bad. ARAMIS You can't just leave him. Athos spurs his horse, rides away. Aramis and Porthos exchange sad looks and hopeful comments."
aramis,"He has a plan. PORTHOS Definitely.   A plan. And with that, they gallop after."
rochefort,I'll give you a hint. It's not the Louvre.
rochefort,"Well, you're the first person who was ever happy to be here. Unfortunately, your visit will be a short one."
rochefort,Also punishable by death. D'ARTAGNAN It was a long day. ROCHEFORT You know them?
rochefort,The Musketeers. D'Artagnan says nothing.     He will not betray them. Rochefort leans close.
rochefort,"Tell me where they are, and I will be lenient."
richelieu,Carry this to the Duke of Buckingham.
richelieu,"And doing so, shall earn you the gratitude of... a King."
rochefort,"This is the boy who killed Jussac. D'ARTAGNAN I can explain that -- ROCHEFORT Silence! Rochefort punches d'Artagnan in the head, knocking him to the floor. The Cardinal frowns."
richelieu,"Rochefort. Violence solves nothing. Leave him to me. D'Artagnan reacts to the Cardinal's reasonable tone. Rochefort makes a sullen exit. The Cardinal smiles. RICHELIEU Please.    Sit down. D'Artagnan reacts with perceptible awe, as if seeing his first movie star. He sits in a finely brocaded chair, looks at the Cardinal, an apparition in red. The Cardinal speaks, his manner casual, friendly. RICHELIEU How much did you hear?"
richelieu,"You may have many talents, my young friend. But guile is not one of them. Do you have a name?"
richelieu,I've heard that name before.   Are you a Gascon?
richelieu,"In that case, give my regards to the headsman. D'ARTAGNAN What about my trial? RICHELIEU You've just had it."
richelieu,"Then tell me what I want to know, and perhaps you will keep it there a few years longer. "
richelieu,And if you did?
rochefort,Milady left at midnight.   By private coach. RICHELIEU A remarkable woman. The most beautiful I've ever known. And the deadliest. Which would explain my attraction.  How is our young daredevil holding up?
rochefort,"He's wishing he'd never heard of the Musketeers. Down below, the horse cart reaches the scaffold. A man- at-arms drops the tailgate, d'Artagnan steps down. He is taken into the custody of a CAPTAIN OF THE GUARDS, and several men-at-arms carrying muskets."
priest,"For we are with you, always. The Priest raises his face, reveals it... and winks.         It is Aramis. He whispers: ARAMIS All for one, and one for all..."
aramis,The good father is... all tied up.
constance,Men call it justice.
anne,"Are you surprised? She replies   with contempt, reins her horse away from the square, the   crowd, the executioner's axe. But Constance freezes in   place, eyes wide. As d'Artagnan, upon the cart, rolls   INTO VIEW. CONSTANCE It's him."
porthos,How considerate of the Cardinal to provide us with a snack. 
porthos,Champagne?
athos,You know I prefer wine. PORTHOS Don't go away.
athos,"Turn right at the next street. D'ARTAGNAN The next right...? ATHOS Turn. Athos growls, d'Artagnan jerks at the reins. The carriage careens around the corner, tipping on two wheels."
porthos," That's it. Next time, you drive."
athos,"Gentlemen, this is the end of the line. I hope you had a pleasant ride.  Unhitch the horses. D'ARTAGNAN But the Guards."
athos,Stand back.
porthos,I'd give five years of your life just to see the Cardinal's face!
aramis,Ten! CUT TO:
richelieu,"One thousand pistoles on each of their heads, dead or alive. The boy knows our plans."
aramis,"A good man, I'm told."
porthos,I knew there was something familiar about this boy. 
porthos,"You already have. His name is the Count De Rochefort. D'Artagnan isn't listening. He stands suddenly, turns, and walks away. He doesn't want the Musketeers to see the tears forming in his eyes. Aramis shouts after:"
aramis,D'Artagnan. CUT TO:
aramis,"A man is better measured by his life than by his death. Your father was bold, and brave."
aramis,He lives in you. That's all the evidence Aramis requires.       D'Artagnan pauses to reflect. Then wonders: D'ARTAGNAN And your father?
aramis,"I was orphaned at a young age. The church took me in. D'ARTAGNAN You didn't have one. ARAMIS But I did. He was a great man, a leader of the church. And his example inspired me to dedicate my life to God's service."
aramis,I joined the Musketeers and a strange thing happened. I got my faith back.
aramis," All of France knows him. His Eminence, the Cardinal Richelieu. D'Artagnan nearly jumps from his boots. CUT TO:"
porthos,"Go on. D'ARTAGNAN The Cardinal sent someone to England. With a secret treaty. ARAMIS What? D'ARTAGNAN He's made an alliance with a man named, Bucking... Buckingham. The Musketeers look at each other with alarm. PORTHOS The Duke of Buckingham? D'ARTAGNAN "
athos,Wait.
athos,Stay on your horse. D'ARTAGNAN He needs our help.
athos,Don't worry.   We'll help him.
aramis,"Gentlemen, I beg you. Please put away your weapons and remove these kegs from the road. We'd prefer to ride on without having to kill you. D'Artagnan and the ""Farmers"" gape at Aramis in surprise."
farmer,You're threatening us?
porthos,"It's not a threat, it's a fact. If you don't haul those kegs away, you're dead where you stand. The Farmer laughs, contemptuously. He raises his pistol and aims it at Porthos' head. But before he can pull the trigger, THREE EXPLOSIONS ERUPT from under the cloaks of Athos, Porthos and Aramis. When the smoke clears, d'Artagnan is startled to see the three dead ""Farmers"" sprawled in the road and the three pistols emerging from beneath the cloaks of the Musketeers. PORTHOS Mine hit the ground first. ATHOS Mine was taller. Aramis swings out of the saddle and begins to perform last rites over the bodies. D'Artagnan still can't be- lieve what just happened. He turns to Porthos. Porthos raises the barrel to his lips and blows away the gunsmoke."
porthos,"There's only one rule, d'Artagnan -- stay alive."
innkeeper,"Good evening. ATHOS See to our horses and bring us some food. INNKEEPER  In the name of God, I'm sure. Porthos is on the lookout for danger. He reaches inside his cloak for a weapon and, in doing so, accidentally exposes his Musketeer tunic."
innkeeper," Musketeers in my house! Gentlemen, put away your swords and come in. Anyone who fights the Cardinal is welcome here."
innkeeper,We don't have much but what we have is yours.
porthos,"Ladies, you're in for a treat tonight. Allow me to introduce myself. I'm the Musketeer they call Porthos. Porthos beams, waiting for a big response but nothing happens. The Barmaids look at each other. PORTHOS  Porthos."
porthos,"I said, 'A Queen is no different than a barmaid in the dark. Though less... practiced in the arts of pleasure...'"
porthos,"If you're going to be a proper Musketeer, you'll have to learn the manly art of wenching. Right, ladies? The Barmaids heartily concur. D'Artagnan looks over Porthos' shoulder, to the dark-haired Barmaid seen previ- ously. Porthos follows his gaze, grins. PORTHOS Ahh, very good. Your first subject. But you'll need instruction. Watch closely. Porthos pulls one of the Barmaids to his chest, brings her lips toward his. PORTHOS The secret to wenching is the first kiss. For in that kiss, a lasting impression is made. If it is weak, she will think you are weak. And if it is comical, she will think you are a clown. With me? D'ARTAGNAN Weak... weak.    Comical... clown."
porthos,"Very good.   And as a Musketeer is never weak,  and only rarely a clown, your  first kiss must be all the things  that you are. Like this... Porthos gives the Barmaid a powerful kiss.      He breaks it, turns to d'Artagnan with a grin."
aramis,Only if you don't know which words to say. All turn to regard Aramis. He'll play along too. Porthos reacts with delight. D'Artagnan with interest. Aramis continues: ARAMIS Words may make a more lasting impression than a thousand of Porthos' kisses. BARMAID 
aramis,Shakespeare. PORTHOS That's cheating. The Barmaid on his lap disagrees.
barmaid,"It's beautiful. D'Artagnan looks at the dark-haired Barmaid across the room. Porthos urges him on. PORTHOS Come on, d'Artagnan. We haven't got all night."
porthos,The boy's a natural. 
aramis,In all the years I've know him... I have never seen Athos smile.
athos,You fight like a Musketeer. Let's see if you can drink like one.
athos,Famous last words.  What shall we drink to?
athos,"Love.  Would you like to hear a story, d'Artagnan? A love story? Athos' voice reveals unexpected vulnerability, the pain he keeps inside. D'Artagnan is fascinated, moved. He nearly whispers:"
athos,He killed her. It seemed like the same thing after a while.
porthos,"Care to dance, Athos? ATHOS Only if I can lead."
innkeeper,"Excuse me, gentlemen."
athos,Well?
innkeeper,It's dawn. They turn in disbelief to the shuttered windows. Sure enough. Sunlight is peeking in through the cracks. CUT TO:
porthos,"You know,   d'Artagnan, it's not a good idea   to travel on an empty stomach.    You really should have had a big   portion of those sheep's brains..."
porthos, A connon ball.
aramis, How's your head now?
athos,"Stay with us, and you just might get your wish. Athos spurs his horse across the field, d'Artagnan and the Musketeers follow. But they discover crude battle- ments in their path. Athos changes direction, sees six horsemen waiting for them in the near distance. He changes direction again, as the horsemen charge after."
constance,Yes.
anne,"And when he looks at you, do you suddenly forget how to breathe? "
anne,Then you're in love.
constance, I am.
anne,Who is he? CONSTANCE You'll never believe it. ANNE Of course I will.
constance,You won't. ANNE Who? CONSTANCE The young man who rescued us from the bandit.
anne,The young man on the scaffold?
constance,Yes. ANNE  You're right. I don't believe it.
anne,What an impertinent question. 
anne,My love... is a matter of state. It's complicated. A sad beat.    Constance teases:
constance,Do you think about him all the time?
