Speaker,Dialogue
silus, We thought we could find Brother Edgar ourselves. We were wrong. But now any debate is pointless.
silus, The greatest danger is if this were to become public knowledge.
lilly,Wouldn't want anyone criticizing the church I suppose.
silus,"It's more than that Captain. This is about prejudice, or rather the nature of it. As a female surely you would understand. 29"
lilly,Really.
silus,How many other Captains in this borough are female?
lilly,None?
silus,"How are your actions judged, the same or differently from the men."
lilly,Differently.
silus,"Exactly. If a white man kills, then he is just a killer. If a black man kills, then all black men are suspect. That is the nature of prejudice. Those who are different are grouped together. If only one Brother does a bad thing then all Brothers are suspect, because we are different. And then what would this world be like, if there was no hope?"
lilly,Alright then. So what do you suggest?
silus,"First, there is something you should hear."
lilly,"Ok, ok, quiet down."
lilly," Gentlemen, there's no other way to put it. We have only 2 days to find the suspect."
jones,There's no chance. Not a hope in hell.
frank,He's right. We don't even know where to begin.
lilly,Quiet!
lilly, What you are about to hear will not leave this room. Everyone understand? Jones?
lilly, I would suggest anyone with a weak stomach leave now.
lilly, This is Brother Silus.
silus,Thank you Captain. Could we have the plate? 31
silus," Senior Brother Edgar. Until 3 weeks ago, he was a trusted and talented theologian and scientist."
dominic,What'd he do?
silus,He was personally responsible for developing the most recent influenza antivirals. It is because of him that most of you are alive today. His behavior appeared normal. Next.
silus," The victims. John Anderson. Julie Danes. Tanya Garfield. All in their early 20's, but beyond that no obvious connection. Next."
silus," There is no precedent for Brother Edgar's behavior. No Brother has ever taken a human life, not in the 300 years since we began. Not one. Our role has been to preserve and maintain the human life. Not take it."
jones,Next he'll be wanting an fucking medal.
silus,What I am saying to you is that Brother Edgar's behavior is aberrant. We 32
silus, don't understand it. And therefore it's difficult to predict. The only thing we know is where he will strike next.
dominic,How do you know?
edgar, Quiet.
edgar, I said shut up!
jones,Fuck!
lilly,"Jones, sit down."
jones,Why are we listening to this?!
lilly,Quiet!
edgar, Good. Now you're quiet.
edgar, Did you hear that Silus? I hope so.
edgar," The next one will be tomorrow. There is a square, Bridge Square it's called. I will take the next one from there. You should try harder this time. Please try harder..."
frank,He sent this to you. Specifically.
silus,We share the same mother. There is a bond.
lilly,"There will be two teams. Frank, I want you and Abernathy up in the buildings around Bridge Square."
lilly," I'll lead the other team with Dominic, Jones and Queen's Imperial Guard in support. No guns, batons only."
jones,What?
lilly,You heard me. He's to be taken alive.
silus,Yes.
lilly,Anything?
silus,No.
lilly,It's getting late.
silus,He will come.
lilly,Ok. We'll sit tight.
jones,This is a dud.
lilly,Frank?
frank,Yeah Lil'.
lilly, Anything?
frank,Not a thing.
lilly, Check each floor again.
frank,"You heard her. Once more for the empire.  Low Angle from the floor of the two men beginning to climb the stairs, their guns out.  The shot stays where it is. We can see the stairs and the wall. We pause. The soundtrack is almost dead quiet, apart from the buzzing flouro above us. And then the CAMERA begins to advance, like a POV, heading for the wall ahead. It reaches the corner and then advances along cables running up to the roof. As it climbs we can see a ventilation shaft in the corner with no grill. The camera approaches it and moves into the shaft, continuous."
edgar,Shoo.
frank,Lil'! Lil'!
lilly,Frank.
frank, He's on the sixth floor! He's on the sixth floor!
lilly,Let's go.
lilly, Police. Get back inside. Get back.
jones,Lil'. 40
jones, Fuck!
edgar,You're so strong.
jones,Lilly!
jones, Oh shit shit.
dominic,Lilly's hurt. She's hurt!
dominic, He's in the ventilation shaft! 41
jones,She's dying! She's fucking dying!
jones, Get away from her!
jones, Get away or I'll stick you!
silus,Do you want me to save her?
silus, She is dying.
silus," Lilly. Stop fighting now. Fall back, fall back..."
dominic,He's getting away!!
silus,Quiet. 43
silus, He's going up.
jones,Get out of my way.
silus,No.
jones,He killed Lilly.
jones, Bang. 46
lilly,Antibiotics. They say it's like an animal bite.
lilly, I want to thank you.
silus,We all caught Edgar.
lilly,"I don't mean that. The blood, they say it saved my life. Is it true that people who go to church are given your blood?"
silus,Sometimes the rituals call for it. Some say they have visions from it. That it restores their health. 47
lilly,So smooth.
lilly, Healed already.
silus,In some ways my body is like a human embryo. The cells regenerate quickly. It is why we live so long. Will someone come for you? Your family?
lilly,I don't have one. Not any more.
silus,I see.
lilly,"Influenza. My husband was quick. But my daughter, Mary, her little body fought it for a long time. So I just waited. Hoped. But then you realize how cruel hope is. And you just want it to end. Not to stop her suffering, but to stop my own."
silus,I am sorry.
lilly,Do we seem pathetic to you?
silus,No. Fragile. Worn down by nature. But you fight back. 48
lilly,Yes. We're good at that.
silus,"I think yours will be a good life to watch, Lilly. Goodbye."
jones,Nicely done. You're more human than I thought.
augustus,Silus. You know Professor Liepsky.
silus,How is he?
professor liepsky,See for yourself.
silus,Is the brace necessary?
augustus,He decapitated a guard as they brought him in. Even though he was sedated. He said he will drink us all dry.
silus,Insane then. 50
professor liepsky,Not quite.
professor liepsky, He's become infected.
silus,With what?
augustus,"Go on, Brother Silus will soon be part of the inner circle of the Brotherhood. He should know this."
professor liepsky,"If she wasn't restrained she would try to kill you. Don't worry, it's only transmissible through their blood. We designed it that way."
silus,Designed? 51
professor liepsky,Genetically designed. Edgar was experimenting with the virus that created you. It was sanctioned by the government.
silus,Since when do they sanction such things?
professor liepsky,Since not one Brother has been born in 70 years. And never a female of your kind from which we could breed. And we need to breed more Brothers. You give the world hope. To the people you're like gods walking the earth.
augustus,This is what Edgar was doing Silus. Trying to genetically control the birth of Brothers.
professor liepsky,"And Edgar was successful. Each of these women carried a Brother, for a time. But, the virus... changed. Most of them have died and these will die soon."
professor liepsky, And Edgar may be the first Brother to ever die. 52
professor liepsky," Before that, his brain will wither like these women. Containment will be the issue.  Cut to"
silus, The police officer. Lilly. Did he infect her with this?
professor liepsky, No. She was lucky. But it is in Edgar's blood. It always will be.
silus,Hello my Brother.
edgar,Do you like what they've done for me Silus?
silus,You are sick. We will help you if we can.
edgar,"Help me? I am being what I was meant to be. How can you help me from that? Or do you want to tame me? Brainwash me? Animal or vegetable, are those the two choices, Silus?"
edgar," I want to share the feeling with you. To feel their blood flow until every last drop is yours, until that weak, pointless little pump finally stops."
edgar," The one I had, the police woman. She was so strong. I found it hard to leave her."
edgar, Is she dead?
silus,She survived.
edgar,Good. I will have her again.
silus,You won't touch her. 54
edgar,You've chosen to watch over her. You want her don't you? I can see it in your eyes. You are like me.
silus,"I will pray for your cure, Brother."
edgar,"I wont be able to forgive you for this you know? Not ever. In fact, when I get out of here..."
edgar, I will make you see. I will show you the way. I will see you drink your little police woman right through.
lilly,Take them away from here.
jones,You don't feel like a drink?
jones," Now my girls, anyone hungry?"
console operator, If you don't stop that we'll use the gas. You hear me?
jones, I knocked.
lilly,You nearly gave me a heart attack.
jones,What's this then?
steph,"My apartment was condemned, keep your hair on, what's left of it."
tv presenter,...the ascension through the ranks of the Church has been fast for Brother Silus. He will now be the highest ranking cardinal outside the ruling council of the Brotherhood. This is largely seen as a reward for his handling of the last influenza pandemic.
steph,Isn't he amazing?
jones,A saint.
lilly,Quiet.
tv presenter,You have been an opponent of those who want an easing in the ban on genetic research.
silus,Yes.
tv presenter,They would say you're denying legitimate research into a science that would change the world.
silus,The church does not deny the potential. Only the motivations of those who want to exploit it. And the fact that we understand so little of its power.
tv presenter,"With the elimination of influenza, are we approaching a new era where disease might be a thing of the past?"
silus,"Disease is part of nature, it will always be a part of our lives."
edgar,How true.
tv presenter, Brother Silus' confirmation ceremony will be held today in the sacred Chapel of St. Augustine where all the Brotherhood will gather.
console operator,I turned off the lights to try and calm him...
console operator, We gassed him as usual. We waited 10 minutes. He must have held his breath.
augustus,"The blood flows, through them, to us and we preserve them, preserve the blood we are bound to protect."
silus,"Let the blood be one and the two races join, as the Perfect Creature."
edgar,"Today my brother enters the history books, Professor."
professor liepsky, Move back!
edgar,Tonight all the Brothers will be with him. A perfect day for me to celebrate.
edgar,You won't be taking any more calls today.
augustus,Now he carries this thing out into the world. Can you imagine what will happen if he infects others? Or if the experiments were known.
silus,The question becomes what will he do next? He said he would kill us all. But especially the police officer. Lilly.
prostitute,"Come on governor, you going to pay me or not?"
freddy,Soon enough my cherub. I've not finished with you yet.
freddy,You've been ripping me off! I should blow your dirty little brains out!
steph, Police! Put the gun down now!
freddy,"It's ok. I'm complying officer, see."
steph,Put the gun on the ground and step away! 66
freddy,I'm doing it.
prostitute,He's crazy! Fucking crazy!
steph," Down! Right now, down on the ground!"
freddy,I'm getting wet now.
steph,Shut up!
steph, Put your hands behind your back.
freddy,Sure. Anything you say.
edgar,Nice to meet you again.
freddy,What's wrong?
edgar,You brought me the wrong one.
freddy,"Does it matter, one's as good as the next?"
freddy, You promised me some of that.
edgar,What do you see Freddy. Visions? Can you see your future?
freddy,Hey!
edgar,Don't be a greedy little pig Freddy. You have to earn more.
edgar, We have more to do.
lilly,Police. Put your hands where I can see them!
parishoner,"Holy brother, please..."
lilly,Let him go.
lilly, He's harmless. Let him go.
parishoner,Forgive me. I've offended you...
silus,No. You are divine. It is the world that offends me.
lilly,Brother Silus. What's going on?
jones," A shopkeeper heard yelling. Went to see, found this. One witness. A prostitute."
jones, She identified this lovely citizen. We thought maybe he had a grudge or was crazy. I guess we were wrong.
silus,It is Edgar.
lilly,And now he's got Steph. Why does he want her?
silus,She is not what he was after.
lilly,Steph was staying with me. She was wearing my coat. It was me he was after. Wasn't it?
silus,Yes. He will come for you Lilly.
jones,"Right, then we put you somewhere safe and set up this place. Shooters on the roofs. And when he comes we blow his fucking brains out."
silus,He will know. He will see and hear it. 72
lilly,It has to be me. That's what he wants. It's the only chance Steph's got.
jones,"What are you talking about, she's probably dead already..."
