	Movie	Genre	Writer	Title	Path
103	Assignment, The	['Thriller']	['Dan Gordon', 'Sabi H. Shabtai']	Assignment	../data/scraping/texts/Assignment.txt
104	At First Sight	['Drama']	['Oliver Sacks', 'Steve Levitt', 'Irwin Winkler', 'Rob Cowan']	At_First_Sight	../data/scraping/texts/At_First_Sight.txt
105	August: Osage County	['Drama']	['Tracy Letts']	August:_Osage_County	../data/scraping/texts/August:_Osage_County.txt
106	Austin Powers - International Man of Mystery	['Action', 'Comedy']	['Mike Myers']	Austin_Powers_-_International_Man_of_Mystery	../data/scraping/texts/Austin_Powers_-_International_Man_of_Mystery.txt
107	Austin Powers - The Spy Who Shagged Me	['Action', 'Comedy']	['Mike Myers']	Austin_Powers_-_The_Spy_Who_Shagged_Me	../data/scraping/texts/Austin_Powers_-_The_Spy_Who_Shagged_Me.txt
108	Authors Anonymous	['Comedy']	['David Congalton']	Authors_Anonymous	../data/scraping/texts/Authors_Anonymous.txt
109	Autumn in New York	['Romance', 'Drama']	['Allison Burnett']	Autumn_in_New_York	../data/scraping/texts/Autumn_in_New_York.txt
110	Avatar	['Action', 'Adventure', 'Sci-Fi']	['James Cameron']	Avatar	../data/scraping/texts/Avatar.txt
111	Avengers, The	['Action', 'Adventure']	['Don Macpherson']	Avengers	../data/scraping/texts/Avengers.txt
112	Avengers, The (2012)	['Action', 'Adventure', 'Sci-Fi']	['Joss Whedon']	Avengers	../data/scraping/texts/Avengers.txt
113	Avventura, L' (The Adventure)	['Drama', 'Mystery', 'Thriller']	['Michelangelo Antonioni', 'Elio Bartolini', 'Tonino Guerra']	Avventura	../data/scraping/texts/Avventura.txt
114	Awakenings	['Drama']	['Steven Zaillian']	Awakenings	../data/scraping/texts/Awakenings.txt
115	Babel	['Drama', 'Thriller']	['Guillermo Arriaga']	Babel	../data/scraping/texts/Babel.txt
116	Bachelor Party	['Comedy']	['Neal Israel', 'Pat Proft', 'Bob Israel']	Bachelor_Party	../data/scraping/texts/Bachelor_Party.txt
117	Bachelor Party, The	['Drama']	['Paddy Chayefsky']	Bachelor_Party	../data/scraping/texts/Bachelor_Party.txt
