Speaker,Gender,Movie
sharon,female,10 Things I Hate About You
pepe,male,10 Things I Hate About You
bruce,male,10 Things I Hate About You
guy,male,10 Things I Hate About You
skippy,male,10 Things I Hate About You
clem,female,10 Things I Hate About You
trevor,male,10 Things I Hate About You
julienne,female,12
jim,male,12
debbie,female,12
barry,female,12
allen,male,12
sheridan,male,12
brenda,female,12
anthony,male,12
allen's voice,male,12
dave,male,12
son,male,12
tony,male,12
raven,female,127 Hours
wayne,male,127 Hours
mark,male,127 Hours
erik,male,127 Hours
sergeant,male,12 Monkeys
cole,male,12 Monkeys
teddy,female,12 Monkeys
wallace,male,12 Monkeys
sandy,female,12 Monkeys
scarface,male,12 Monkeys
jose,male,12 Monkeys
louis,male,12 Monkeys
terry,male,12 Monkeys
ben,male,12 Monkeys
louie,male,12 Monkeys
wayne,male,12 Monkeys
jeffrey,male,12 Monkeys
edward,male,12 Years a Slave
emily,female,12 Years a Slave
fitzgerald,male,12 Years a Slave
zachary,male,12 Years a Slave
margaret,female,12 Years a Slave
phebe,female,12 Years a Slave
alonzo,male,12 Years a Slave
bob,male,12 Years a Slave
haley,female,12 and Holding
rudy,male,12 and Holding
debbie,female,12 and Holding
gabe,male,12 and Holding
sara,female,12 and Holding
tommy,female,12 and Holding
jeff,male,12 and Holding
giacomo,male,1492  Conquest of Paradise
beatrix,female,1492  Conquest of Paradise
alonso,male,1492  Conquest of Paradise
fernando,male,1492  Conquest of Paradise
diego,male,1492  Conquest of Paradise
isabel,female,1492  Conquest of Paradise
duffy,male,15 Minutes
unique,female,15 Minutes
waiter,male,15 Minutes
max,male,15 Minutes
garcia,male,15 Minutes
paulie,female,15 Minutes
milos,male,15 Minutes
jordy,male,15 Minutes
ludwig,male,15 Minutes
stern,male,15 Minutes
mike,male,15 Minutes
louie,male,15 Minutes
murphy,male,15 Minutes
maggie,female,15 Minutes
christian,male,187
victor,male,187
stevie,male,187
cesar,male,187
walter,male,187
ellen,female,187
rita,female,187
paco,male,187
trevor,male,187
iris,female,187
benny,female,187
floyd,male,2001  A Space Odyssey
bowman,male,2001  A Space Odyssey
elena,female,2001  A Space Odyssey
hal's voice,male,2001  A Space Odyssey
hal,male,2001  A Space Odyssey
miller,female,2001  A Space Odyssey
waiter,male,2012
charlie's voice,female,2012
alec,male,2012
manfred,male,2012
sally,female,2012
selena,female,28 Days Later
henry,male,28 Days Later
hannah,female,28 Days Later
mitchell,male,28 Days Later
jim,male,28 Days Later
clifton,male,28 Days Later
davis,male,28 Days Later
mark,male,28 Days Later
jones,male,28 Days Later
bell,female,28 Days Later
smith,male,28 Days Later
frank,male,28 Days Later
will,male,30 Minutes or Less
mark,male,30 Minutes or Less
sandra,female,30 Minutes or Less
smith's voice,male,42
butler,male,42
alice,female,42
miller,female,42
fan,female,42
casey,female,42
rachel's voice,female,42
jack's voice,male,42
rickey's voice,male,42
archie's voice,male,44 Inch Chest
colin,male,44 Inch Chest
max,male,44 Inch Chest
colin's voice,male,44 Inch Chest
liz's voice,female,44 Inch Chest
liz,female,44 Inch Chest
archie,male,44 Inch Chest
meredith,female,44 Inch Chest
meredith's voice,female,44 Inch Chest
billy,female,48 Hrs
candy,female,48 Hrs
lisa,female,48 Hrs
rosalie,female,48 Hrs
elaine,female,48 Hrs
ruth,female,48 Hrs
henry,male,48 Hrs
casey,female,48 Hrs
angela,female,48 Hrs
luther,male,48 Hrs
rita,female,48 Hrs
brady,male,48 Hrs
sally,female,48 Hrs
bob,male,48 Hrs
ted,female,50-50
eddie,male,50-50
greg,male,50-50
claire,female,50-50
edith,female,50-50
andrew,male,50-50
susan,female,50-50
rose,female,50-50
jenny,female,50-50
adam,male,50-50
beverly,female,50-50
seth,male,50-50
art,male,50-50
jim,male,50-50
katie,female,50-50
alan,male,50-50
phil,female,50-50
joe,male,50-50
paul,male,50-50
demetri,male,50-50
margaret,female,50-50
joanne,female,50-50
rabbi,male,50-50
george,male,50-50
mitch,male,50-50
rachel,female,50-50
usher,male,50-50
rebecca,female,500 Days of Summer
martin,male,500 Days of Summer
amanda,female,500 Days of Summer
ginny,female,A Few Good Men
lawrence,male,A Few Good Men
steward,male,A Few Good Men
kendrick,male,A Few Good Men
randolph,male,A Few Good Men
dawson,male,A Few Good Men
billy,female,A Prayer Before Dawn
tiffany,female,A Prayer Before Dawn
dan,male,A Scanner Darkly
george,male,A Scanner Darkly
minda,female,A Serious Man
judy,female,A Serious Man
mel,female,A Serious Man
carla,female,Above the Law
lucy,female,Above the Law
henderson,male,Above the Law
jackson,male,Above the Law
waiter,male,Absolute Power
christy,female,Absolute Power
richmond,male,Absolute Power
red,male,Absolute Power
donald,male,Adaptation
randy,male,Adaptation
margaret,female,Adaptation
jerry,male,Adaptation
russell,male,Adaptation
tony,male,Adaptation
elise,female,Adjustment Bureau
waiter,male,Adjustment Bureau
harry,male,Adjustment Bureau
sergeant,male,Adjustment Bureau
charlie,female,Adjustment Bureau
adrian,male,Adjustment Bureau
david,male,Adjustment Bureau
thompson,male,Adjustment Bureau
lauren,female,Adjustment Bureau
billy,female,Adventures of Buckaroo Banzai Across the Eighth Dimension
casper,male,Adventures of Buckaroo Banzai Across the Eighth Dimension
penny's voice,female,Adventures of Buckaroo Banzai Across the Eighth Dimension
sam,male,Adventures of Buckaroo Banzai Across the Eighth Dimension
frankie,female,Affliction
nick,male,Affliction
jimmy,male,Affliction
hettie,female,Affliction
sally,female,Affliction
vincent,male,After
anna,female,After
diane,female,After
eliot,male,After
tom,male,After
paul,male,After
beatrice,female,After
jack,male,After
russ,male,After School Special
naomi,female,After School Special
fred,female,After School Special
matt,male,After School Special
mike,male,After School Special
roger,male,After School Special
jake,male,After School Special
deacon,male,After School Special
ashley,female,After School Special
max,male,After School Special
kelly,female,After School Special
helen,female,Agnes of God
eve,female,Agnes of God
lisa,female,Airplane
joey,female,Airplane
carey,female,Airplane
shirley,female,Airplane
jack,male,Airplane
mary,female,Airplane 2  The Sequel
porter,male,Airplane 2  The Sequel
alice,female,Airplane 2  The Sequel
son,male,Airplane 2  The Sequel
john,male,Airplane 2  The Sequel
bob,male,Airplane 2  The Sequel
marge,female,Airplane 2  The Sequel
frank,male,Airplane 2  The Sequel
simon,male,Airplane 2  The Sequel
sergeant,male,Airplane 2  The Sequel
elaine,female,Airplane 2  The Sequel
henry,male,Airplane 2  The Sequel
star,female,Airplane 2  The Sequel
ted,female,Airplane 2  The Sequel
joey,female,Airplane 2  The Sequel
dave,male,Airplane 2  The Sequel
jacob,male,Airplane 2  The Sequel
jane,female,Airplane 2  The Sequel
sven,male,Airplane 2  The Sequel
scott,male,Airplane 2  The Sequel
joe,male,Airplane 2  The Sequel
stella,female,Airplane 2  The Sequel
jimmy,male,Airplane 2  The Sequel
krista,female,Airplane 2  The Sequel
rudy,male,Ali
clayton,male,Ali
frazier,male,Ali
cassius,male,Ali
irene,female,Ali
veronica,female,Ali
philip,male,Alien 3
abbot,male,Alien 3
kyle,male,Alien 3
mattias,male,Alien 3
anthony,male,Alien 3
john,male,Alien 3
jetson,male,Alien Nation
kristin,female,Alien Nation
porter,male,Alien Nation
harcourt,male,Alien Nation
kristin's voice,female,Alien Nation
watson,male,Alien Nation
cassie,female,Alien vs
matt,male,Alien vs
thomas,male,Alien vs
tim,female,Aliens
drake,male,Aliens
jorden,male,Aliens
dietrich,male,Aliens
anne,female,Aliens
addison's voice,female,All About Eve
waiter,male,All About Eve
lloyd,male,All About Eve
max,male,All About Eve
eve's voice,female,All About Eve
karen,female,All About Eve
margo's voice,female,All About Eve
addison,female,All About Eve
phoebe,female,All About Eve
birdie,female,All About Eve
birdie's voice,female,All About Eve
margo,female,All About Eve
bill's voice,female,All About Eve
karen's voice,female,All About Eve
bill,female,All About Eve
eve,female,All About Eve
vince,male,All About Steve
clyde,male,All About Steve
norm,male,All About Steve
josh,male,All About Steve
guy,male,All About Steve
daniel,male,All About Steve
betty,female,All About Steve
duffy,male,All the King s Men
sadie's voice,female,All the King s Men
hale,male,All the King s Men
helene,female,All the King s Men
duffy's voice,male,All the King s Men
willie's voice,female,All the King s Men
tom,male,All the King s Men
sadie,female,All the King s Men
stanton,male,All the King s Men
judge,male,All the King s Men
harrison,male,All the King s Men
lucy,female,All the King s Men
willie,female,All the King s Men
anne,female,All the King s Men
madison,female,All the King s Men
jack's voice,male,All the King s Men
lucy's voice,female,All the King s Men
jack,male,All the King s Men
nixon,male,All the President s Men
jane,female,All the President s Men
hannah,female,All the President s Men
irwin,male,All the President s Men
sloan,male,All the President s Men
judge,male,All the President s Men
anita's voice,female,Almost Famous
ed,male,Almost Famous
scotty,female,Almost Famous
fan,female,Almost Famous
tobin,male,Almost Famous
ric,male,Almost Famous
reg,male,Almost Famous
aaron,male,Almost Famous
ben,male,Almost Famous
larry,male,Almost Famous
tony,male,Almost Famous
sophie,female,Alone in the Dark
burke,male,Alone in the Dark
gertrude,female,Amadeus
ailey,female,Amelia
dorothy,female,Amelia
mabel,female,Amelia
sam,male,Amelia
paul,male,Amelia
roosevelt,male,Amelia
slim,male,Amelia
thompson,male,Amelia
ingrid,female,American
mathilde,female,American
waiter,male,American
clara,female,American
larry,male,American
fabio,male,American
anna,female,American
jack,male,American
barbara,female,American Beauty
christy,female,American Beauty
stevie,male,American Gangster
charlene,female,American Gangster
thai,male,American Gangster
turner,male,American Gangster
eddie,male,American Graffiti
bobbie,female,American Graffiti
dale,female,American Graffiti
guy,male,American Graffiti
vic,male,American Graffiti
diane,female,American Graffiti
jane,female,American Graffiti
hank,male,American Graffiti
judy,female,American Graffiti
peg,female,American Graffiti
kip,female,American Graffiti
lizzy,female,American History X
jerome,male,American History X
chris,male,American History X
lawrence,male,American History X
stevie,male,American History X
curtis,male,American History X
seth,male,American History X
cassandra,female,American History X
tisha,female,American History X
murray,male,American History X
daryl,female,American History X
danny,male,American History X
davina,female,American History X
lamont,male,American History X
jason,male,American History X
dennis,male,American History X
derek,male,American History X
doris,female,American History X
stacey,female,American History X
julius,male,American Hustle
danny,male,American Hustle
rosalyn,female,American Hustle
brenda,female,American Hustle
vlad,male,American Milkshake
ray,female,American Milkshake
zeke,male,American Milkshake
jolie,female,American Milkshake
arius,male,American Milkshake
anya,female,American Milkshake
elliott,male,American Milkshake
christine,female,American Milkshake
henrietta,female,American Milkshake
wendel,male,American Milkshake
waiter,male,American Pie
albert,male,American Pie
lisa,female,American President
susan,female,American President
sydney,female,American President
shepherd,male,American President
esther,female,American President
lewis,male,American President
david,male,American President
beth,female,American President
stu,male,American President
carl,male,American President
janie,female,American President
lucy,female,American President
carol,female,American President
leo,male,American President
jeff,male,American President
sally,female,American President
mark,male,American President
leslie,female,American President
robin,female,American President
drew,male,American Shaolin  King of Kickboxers II
trevor,male,American Shaolin  King of Kickboxers II
debby,female,American Sniper
gunner,male,American Sniper
mckenna,female,American Sniper
sarah,female,American Sniper
wynn,female,American Sniper
colton,male,American Sniper
ryan,female,American Sniper
thompson,male,American Sniper
wayne,male,American Sniper
tony,male,American Sniper
rand,male,American Splendor
lana,female,American Splendor
miguel,male,American Splendor
marty,female,American Splendor
bobbie,female,American Werewolf in London
harry,male,American Werewolf in London
judith,female,American Werewolf in London
benjamin,male,American Werewolf in London
sean,male,American Werewolf in London
louise,female,Amityville Asylum
lisa,female,Amityville Asylum
allison,female,Amityville Asylum
palmer,male,Amityville Asylum
nancy,female,Amityville Asylum
mick,male,Amityville Asylum
sadie,female,Amityville Asylum
butch,male,Amityville Asylum
gloria,female,Amityville Asylum
delaney,female,Amityville Asylum
eva's voice,female,Amour
anne's voice,female,Amour
geoff,male,Amour
sheila,female,Analyze That
patty,female,Analyze That
belinda,female,Analyze This
anna,female,Analyze This
sheila,female,Analyze This
theresa,female,Analyze This
anthony,male,Analyze This
donny,female,Analyze This
janet,female,Analyze This
justice,male,Analyze This
nicholas,male,Anastasia
dmitri,male,Anastasia
andre,male,Anastasia
anya,female,Anastasia
gregor,male,Anastasia
pierre,male,Anastasia
sonya,female,Anastasia
allison,female,Angel Eyes
annie,female,Angel Eyes
tommy,female,Angel Eyes
jack,male,Angel Eyes
vasili,male,Anna Karenina
korney,female,Anna Karenina
serafina,female,Anna Karenina
alexander,male,Anna Karenina
masha,female,Anna Karenina
tanya,female,Anna Karenina
michael,male,Anna Karenina
joey,female,Annie Hall
tessie,female,Annie Hall
steven,male,Anniversary Party
monica,female,Anniversary Party
sophia,female,Anniversary Party
sanford,male,Anniversary Party
skye,female,Anniversary Party
evie,female,Anniversary Party
astrid,female,Anniversary Party
joe,male,Anniversary Party
sam,male,Anniversary Party
judy,female,Anniversary Party
america,female,Anniversary Party
ryan,female,Anniversary Party
clair,female,Anniversary Party
gina,female,Anniversary Party
cal,female,Anniversary Party
sally,female,Anniversary Party
jeffrey,male,Anniversary Party
jerry,male,Anniversary Party
mac,male,Anniversary Party
jack,male,Anniversary Party
usher,male,Anonymous
bessie,female,Anonymous
spencer,male,Anonymous
marlowe,female,Anonymous
bridget,female,Anonymous
delbert,male,Antitrust
ricky,male,Antitrust
nelson,male,Antitrust
len,male,Antitrust
daryl,female,Antitrust
danny,male,Antitrust
gunther,male,Antitrust
terry,male,Antitrust
donny,female,Antitrust
mitch,male,Antitrust
desi,female,Antitrust
fran,female,Apartment
waiter,male,Apartment
sylvia,female,Apartment
margie,female,Apartment
baxter's voice,male,Apartment
tommy,female,Apartment
bud,male,Apartment
cathy,female,Apocalypse Now
terri,female,Apocalypse Now
charlie,female,Apocalypse Now
willard,male,Apocalypse Now
gunner,male,Apocalypse Now
colby,female,Apocalypse Now
tom,male,Apocalypse Now
lynda,female,Apocalypse Now
philippe,female,Apocalypse Now
clara's voice,female,April Fool s Day
clara,female,April Fool s Day
kit,female,April Fool s Day
harvey,male,April Fool s Day
rob,male,April Fool s Day
buck,male,April Fool s Day
skip,male,April Fool s Day
cal,female,April Fool s Day
nikki,female,April Fool s Day
skip's voice,male,April Fool s Day
dick,male,Apt Pupil
morgan,female,Apt Pupil
maria,female,Arbitrage
peter,male,Arbitrage
mae,female,Arbitrage
ava,female,Arbitrage
brent,male,Arbitrage
cindy,female,Arbitrage
reina,female,Arbitrage
ben,male,Arbitrage
greg,male,Arcade
jim,male,Arcade
alex,male,Arcade
nick,male,Arcade
albert,male,Arcade
laurie,female,Arcade
dixie,female,Arctic Blue
brice,male,Argo
vance,male,Argo
christine,female,Argo
saunders,male,Argo
butler,male,Argo
lamont,male,Argo
sahar,female,Argo
kirby,female,Argo
rodd,male,Argo
nina,female,Argo
turner,male,Argo
martha,female,Arsenic and Old Lace
elaine,female,Arsenic and Old Lace
abby,female,Arsenic and Old Lace
teddy,female,Arsenic and Old Lace
saunders,male,Arsenic and Old Lace
jonathan,male,Arsenic and Old Lace
mortimer,male,Arsenic and Old Lace
waiter,male,Arthur
grant,male,Arthur
james,male,Arthur
tailor,male,Arthur
butler,male,Arthur
naomi,female,Arthur
jay,male,Arthur
gary,male,Arthur
justin,male,Arthur
carmella,female,Arthur
megan,female,Arthur
sofia,female,Arthur
marty,female,Arthur
lisa,female,As Good As It Gets
spencer,male,As Good As It Gets
cheryl,female,As Good As It Gets
evan,male,As Good As It Gets
doug,male,As Good As It Gets
sean,male,As Good As It Gets
zoe,female,As Good As It Gets
akira,female,Assassins
yolanda,female,Assignment
tyler,male,Assignment
joey,female,Assignment
monroe,male,Assignment
colette,female,Assignment
carla,female,Assignment
scott,male,Assignment
crawford,male,Assignment
nikolai,male,Assignment
andrei,female,Assignment
ivan,male,Assignment
vladimir,male,Assignment
maura,female,Assignment
carlos,male,Assignment
frank,male,Assignment
amos,male,Assignment
jack,male,Assignment
aaron,male,At First Sight
carl,male,At First Sight
virgil's voice,male,At First Sight
kevin,male,At First Sight
nancy,female,At First Sight
tommy,female,At First Sight
susan,female,At First Sight
caroline,female,At First Sight
charlie,female,August  Osage County
jean,male,August  Osage County
johnna,female,August  Osage County
karen,female,August  Osage County
ivy,female,August  Osage County
barbara,female,August  Osage County
beverly,female,August  Osage County
bill,female,August  Osage County
steve,male,August  Osage County
violet,female,August  Osage County
billy,female,Austin Powers - International Man of Mystery
bobby,female,Austin Powers - The Spy Who Shagged Me
sergeant,male,Austin Powers - The Spy Who Shagged Me
rebecca,female,Austin Powers - The Spy Who Shagged Me
cindy,female,Austin Powers - The Spy Who Shagged Me
vanessa,female,Austin Powers - The Spy Who Shagged Me
ricardo,male,Austin Powers - The Spy Who Shagged Me
reg,male,Austin Powers - The Spy Who Shagged Me
richard,male,Authors Anonymous
maureen,female,Authors Anonymous
olivia,female,Autumn in New York
wendy,female,Autumn in New York
molly,female,Autumn in New York
hari,male,Autumn in New York
john's voice,male,Autumn in New York
henry,male,Autumn in New York
carla,female,Autumn in New York
charlotte's voice,female,Autumn in New York
patty,female,Autumn in New York
melissa,female,Autumn in New York
tanya,female,Autumn in New York
michael,male,Autumn in New York
eric,male,Autumn in New York
jesus,male,Autumn in New York
celia,female,Autumn in New York
gunner,male,Avatar
trooper,female,Avatar
pepper,female,Avengers
jarvis,male,Avengers
natasha,female,Avengers
thor,male,Avengers
steve,male,Avengers
barton,male,Avengers
tony,male,Avengers
marshal,male,Avventura
giulia,female,Avventura
sandro,male,Avventura
sergeant,male,Avventura
anna,female,Avventura
patrizia,female,Avventura
claudia,female,Avventura
princess,female,Avventura
sayer,male,Awakenings
waiter,male,Babel
douglas,male,Babel
lilly,female,Babel
patricia,female,Babel
barth,male,Babel
jane,female,Babel
lucia,female,Babel
zora,female,Babel
walter,male,Babel
jacinto,male,Babel
eliseo,male,Babel
elyse,female,Babel
lucio,male,Babel
rachel,female,Babel
eddie,male,Bachelor Party
arnold,male,Bachelor Party
charlie,female,Bachelor Party
kenneth,male,Bachelor Party
helen's voice,female,Bachelor Party
charlie's voice,female,Bachelor Party
eddie's voice,male,Bachelor Party
walter,male,Bachelor Party
arnold's voice,male,Bachelor Party
julie,female,Bachelor Party
helen,female,Bachelor Party
evelyn,female,Bachelor Party
fred,female,Back-up Plan
bobby,female,Back-up Plan
olivia,female,Back-up Plan
edward,male,Back-up Plan
stan,male,Back-up Plan
tabitha,female,Back-up Plan
annie,female,Back-up Plan
nana,male,Back-up Plan
lori,female,Back-up Plan
arthur,male,Back-up Plan
sara,female,Back-up Plan
jessie,female,Back-up Plan
carol,female,Back-up Plan
joan,female,Back-up Plan
dakota,female,Back-up Plan
mona,female,Back-up Plan
shirley,female,Back-up Plan
zoe,female,Back-up Plan
sean,male,Backdraft
dennis,male,Backdraft
jackson,male,Backdraft
sally,female,Backdraft
washington,male,Backdraft
noah,male,Bad Boys
lois,female,Bad Boys
shepard,male,Bad Country
tom,male,Bad Country
sherry,female,Bad Country
dea,female,Bad Country
lenard,male,Bad Day at Black Rock
smith's voice,male,Bad Day at Black Rock
sergeant,male,Bad Lieutenant
julio,male,Bad Lieutenant
jesus,male,Bad Lieutenant
veronica,female,Bad Lieutenant
paolo,male,Bad Lieutenant
jesse,male,Bad Santa
opal,female,Bad Santa
willie,female,Bad Santa
lois,female,Bad Santa
sergeant,male,Bad Teacher
sheila,female,Bad Teacher
spencer,male,Bad Teacher
tucker,male,Bad Teacher
shawn,male,Bad Teacher
john,male,Bad Teacher
trooper,female,Badlands
jessica,female,Bamboozled
peter,male,Bamboozled
louise,female,Bamboozled
bobby,female,Bamboozled
tre,male,Bamboozled
anna,female,Bamboozled
stacy,female,Bamboozled
ruth,female,Bamboozled
seth,male,Bamboozled
david,male,Bamboozled
beth,female,Bamboozled
marie,female,Bamboozled
kirk,male,Bamboozled
barnett,male,Bamboozled
joan,female,Bamboozled
aaron,male,Bamboozled
lulu,female,Bamboozled
mona,female,Bamboozled
jeff,male,Bamboozled
verna,female,Bamboozled
hunt,male,Barry Lyndon
prince,male,Barry Lyndon
henri,male,Barry Lyndon
richard,male,Barton Fink
lily,female,Barton Fink
derek,male,Barton Fink
maury,male,Barton Fink
pete,male,Barton Fink
poppy,female,Barton Fink
roxy,female,Basic Instinct
hazel,female,Basic Instinct
maria,female,Basquiat
greg,male,Basquiat
nora,female,Basquiat
henry,male,Basquiat
matilde,female,Basquiat
stella,female,Basquiat
ellen,female,Basquiat
george,male,Basquiat
frank,male,Basquiat
eddie,male,Batman
waiter,male,Batman
claire,female,Batman
patsy,female,Batman
miranda,female,Batman
dick,male,Batman
alfred,male,Batman
nick,male,Batman
gordon,male,Batman
jimmy,male,Batman
jack's voice,male,Batman
mayor,male,Batman
alicia,female,Batman
dave,male,Batman
tony,male,Batman
jack,male,Batman
michele,female,Battle  Los Angeles
cherise,female,Battle  Los Angeles
anna,female,Battle  Los Angeles
hector,male,Battle  Los Angeles
kirsten,female,Battle  Los Angeles
amy,female,Battle  Los Angeles
marc,male,Battle of Algiers
waiter,male,Battle of Algiers
ali,male,Battle of Algiers
mahmoud,male,Battle of Algiers
sergeant,male,Battle of Algiers
bernadette,female,Battle of Algiers
abe,male,Battle of Shaker Heights
bridget,female,Battle of Shaker Heights
charlie,female,Battle of Shaker Heights
mathilda,female,Battle of Shaker Heights
minnie,female,Battle of Shaker Heights
bart,male,Battle of Shaker Heights
lance,male,Battle of Shaker Heights
sarah,female,Battle of Shaker Heights
harrison,male,Battle of Shaker Heights
tabby,female,Battle of Shaker Heights
kelly,female,Battle of Shaker Heights
eve,female,Battle of Shaker Heights
hubert,male,Bean
vincent,male,Bean
charles,male,Bean
george,male,Bean
sergeant,male,Beasts of No Nation
amy,female,Beasts of No Nation
marietta's voice,female,Beasts of the Southern Wild
agathe,female,Beauty and the Beast
jean,male,Beauty and the Beast
dick,male,Beauty and the Beast
tom,male,Beauty and the Beast
juan,male,Beginners
liz,female,Beginners
elliott,male,Beginners
anne,female,Beginners
ursula,female,Being Human
andre,male,Being Human
deirdre,female,Being Human
santiago,male,Being Human
julian,male,Being Human
son,male,Being Human
peter,male,Being John Malkovich
wendy,female,Being John Malkovich
guy,male,Being John Malkovich
gloria,female,Being John Malkovich
usher,male,Being John Malkovich
townsend,male,Being There
jennifer,female,Being There
johanna,female,Being There
monroe,male,Being There
david,male,Being There
dennis,male,Being There
watson,male,Being There
linda,female,Believer
carla's voice,female,Believer
lina,female,Believer
kyle,male,Believer
guy,male,Believer
curtis,male,Believer
miriam,female,Believer
stuart,male,Believer
linda's voice,female,Believer
carla,female,Believer
danny,male,Believer
drake,male,Believer
judge,male,Believer
avi,male,Believer
steve,male,Believer
whit,male,Believer
harry,male,Belle
james,male,Belle
mabel,female,Belle
john,male,Belle
howard,male,Beloved
halle,female,Beloved
amy,female,Beloved
paul,male,Beloved
janey,female,Beloved
grace,female,Beloved
ella,female,Beloved
sawyer,male,Beloved
denver,male,Beloved
jessica,female,Best Exotic Marigold Hotel
madge,female,Best Exotic Marigold Hotel
douglas,male,Best Exotic Marigold Hotel
waiter,male,Best Exotic Marigold Hotel
judith,female,Best Exotic Marigold Hotel
jean,male,Best Exotic Marigold Hotel
karen,female,Best Exotic Marigold Hotel
norman,male,Best Exotic Marigold Hotel
christopher,male,Best Exotic Marigold Hotel
giles,male,Best Exotic Marigold Hotel
katie,female,Best Exotic Marigold Hotel
evan,male,Best Exotic Marigold Hotel
muriel,female,Best Exotic Marigold Hotel
graham,male,Best Exotic Marigold Hotel
judge,male,Best Exotic Marigold Hotel
sonny,female,Best Exotic Marigold Hotel
sanjay,male,Best Exotic Marigold Hotel
craig,male,Best Exotic Marigold Hotel
carol,female,Best Exotic Marigold Hotel
jay,male,Best Exotic Marigold Hotel
jackson,male,Best Exotic Marigold Hotel
liam,male,Best Exotic Marigold Hotel
evelyn,female,Best Exotic Marigold Hotel
harold,male,Best Exotic Marigold Hotel
simon,male,Best Exotic Marigold Hotel
darin,male,Big
cynthia,female,Big
duffy,male,Big Blue
waiter,male,Big Blue
lawrence,male,Big Blue
bonita,female,Big Blue
jacques,male,Big Blue
enzo,male,Big Blue
johana,female,Big Blue
roberto,male,Big Blue
sally,female,Big Blue
frank,male,Big Blue
ruben,male,Big Eyes
lily,female,Big Eyes
walter's voice,male,Big Eyes
jane,female,Big Eyes
dick,male,Big Eyes
walter,male,Big Eyes
judge,male,Big Eyes
margaret,female,Big Eyes
edward,male,Big Fish
shephard,male,Big Fish
ruthie,female,Big Fish
mildred,female,Big Fish
mayor,male,Big Fish
son,male,Big Fish
karl,male,Big Fish
maude's voice,female,Big Lebowski
quintana,female,Big Lebowski
bunny,female,Big Lebowski
maude,female,Big Lebowski
walter,male,Big Lebowski
dieter,male,Big Lebowski
pilar,female,Big Lebowski
franz,male,Big Lebowski
donny,female,Big Lebowski
gary,male,Big Lebowski
allan,male,Big Lebowski
tony,male,Big Lebowski
mary,female,Big Sick
fatima,female,Big Sick
chris,male,Big Sick
emily,female,Big Sick
emily's voice,female,Big Sick
denise,female,Big Sick
beth,female,Big Sick
stu,male,Big Sick
jessie,female,Big Sick
sam,male,Big Sick
khadija,female,Big Sick
yazmin,female,Big Sick
terry,male,Big Sick
howard,male,Big White
ted,female,Big White
avis,female,Big White
jimbo,male,Big White
branch,male,Big White
tiffany,female,Big White
paul,male,Big White
margaret,female,Big White
cam,female,Big White
raymond,male,Big White
gary,male,Big White
dave,male,Big White
bill,female,Big White
waiter,male,Birdman
clara,female,Birdman
guy,male,Birdman
annie,female,Birdman
han,male,Birdman
gabriel,male,Birdman
leslie,female,Birdman
larry,male,Birdman
usher,male,Birdman
cathy,female,Birds
lydia's voice,female,Birds
melanie's voice,female,Birds
annie's voice,female,Birds
annie,female,Birds
sam,male,Birds
sam's voice,male,Birds
mitch's voice,male,Birds
helen,female,Birds
harry's voice,male,Birds
lydia,female,Birds
mitch,male,Birds
melanie,female,Birds
sergeant,male,Birthday Girl
nadia,female,Birthday Girl
odetta,female,BlacKkKlansman
connie,female,BlacKkKlansman
josh,male,BlacKkKlansman
jesse,male,BlacKkKlansman
walker,male,BlacKkKlansman
walter,male,BlacKkKlansman
patrice,female,BlacKkKlansman
hakeem,male,BlacKkKlansman
butch,male,BlacKkKlansman
jimmy,male,BlacKkKlansman
felix,male,BlacKkKlansman
ron,male,BlacKkKlansman
martha,female,Black Dahlia
kay,female,Black Dahlia
bruno,male,Black Dahlia
dewitt,male,Black Dahlia
sheryl,female,Black Dahlia
harry,male,Black Dahlia
ramona,female,Black Dahlia
vic,male,Black Dahlia
ernie,male,Black Dahlia
bucky,male,Black Dahlia
tom,male,Black Dahlia
buck,male,Black Dahlia
lee,female,Black Dahlia
johnny,male,Black Dahlia
pete,male,Black Dahlia
fay,female,Black Dahlia
marjorie,female,Black Dahlia
madeleine,female,Black Dahlia
sally,female,Black Dahlia
tierney,female,Black Dahlia
zuri,female,Black Panther
linda,female,Black Panther
james,male,Black Panther
bucky,male,Black Panther
ross,male,Black Panther
son,male,Black Panther
ramonda,female,Black Panther
connie,female,Black Rain
sergeant,male,Black Rain
gene,female,Black Snake Moan
hershel,male,Black Snake Moan
herman,male,Black Snake Moan
melvin,male,Black Snake Moan
archie,male,Black Snake Moan
conner,male,Black Snake Moan
bryan,male,Black Snake Moan
red,male,Black Snake Moan
mark,male,Black Snake Moan
waiter,male,Black Swan
andrew,male,Black Swan
lily,female,Black Swan
david,male,Black Swan
tom,male,Black Swan
galina,female,Black Swan
susie,female,Black Swan
gideon,male,Blade
julie,female,Blade
pearl,female,Blade
pearl's voice,female,Blade
dennis,male,Blade
raquel,female,Blade
mary,female,Blade Runner
rachael's voice,female,Blade Runner
sergeant,male,Blade Runner
wheeler,male,Blade Runner
salome,female,Blade Runner
rachel,female,Blade Runner
asher,male,Blade  Trinity
danica,female,Blade  Trinity
hale,male,Blade  Trinity
vance,male,Blade  Trinity
king,male,Blade  Trinity
drake,male,Blade  Trinity
hendrix,female,Blade  Trinity
lucius,male,Blade  Trinity
abigail,female,Blade  Trinity
larry,male,Blade  Trinity
